Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Screen_Passes,Short_Passes,Medium_Passes,Long_Passes,Deep_Passes,Third_Down_Passes,Accuracy,Timing,Sense_Rush,Read_Defense,Two_Minute_Offense,Run_Frequency,Kick_Holding,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Screen_PassesZ,Short_PassesZ,Medium_PassesZ,Long_PassesZ,Deep_PassesZ,Third_Down_PassesZ,AccuracyZ,TimingZ,Sense_RushZ,Read_DefenseZ,Two_Minute_OffenseZ,Run_FrequencyZ,Kick_HoldingZ,PeakCur,PeakCurZ,Ability,Draftable
20,10,91,81,780,504,11,30,14,0,0,17,23,0,11,61,13,19,11,1,0,-1.10957004160888,0.228310502283105,-1.93011647254576,1.0261780104712,0.276679841897234,-1.65562913907285,0.11,0.38,0.14,0.00,0.00,0.17,0.23,0.00,0.11,0.61,0.13,0.19,0.11,0.01,0.00,4,0.04,0,0
28,10,96,70,810,515,41,36,24,15,0,32,38,41,0,59,0,41,12,0,38,0,0.228310502283105,-1.0981697171381,-0.12565445026178,-0.909090909090907,-2.3841059602649,0.41,0.45,0.24,0.15,0.00,0.32,0.38,0.41,0.00,0.59,0.00,0.41,0.12,0.00,0.38,11,0.11,0,0
23,6,107,64,780,508,9,27,22,10,18,0,0,0,5,10,9,0,0,0,26,-0.693481276005548,-1.59817351598174,0.732113144758736,-0.753926701570681,0.276679841897234,-1.9205298013245,0.09,0.34,0.22,0.10,0.18,0.00,0.00,0.00,0.05,0.10,0.09,0.00,0.00,0.00,0.26,2,0.02,0,0
22,10,97,70,780,479,26,32,22,0,0,23,2,0,28,6,32,0,20,30,0,-0.832177531206657,0.228310502283105,-0.931780366056571,-0.12565445026178,0.276679841897234,0,0.26,0.40,0.22,0.00,0.00,0.23,0.02,0.00,0.28,0.06,0.32,0.00,0.20,0.30,0.00,6,0.06,0,0
27,7,97,83,748,474,22,38,49,15,8,27,0,4,51,61,13,33,0,27,37,-0.13869625520111,-1.14155251141553,-0.931780366056571,1.23560209424084,1.54150197628458,0.331125827814568,0.22,0.48,0.49,0.15,0.08,0.27,0.00,0.04,0.51,0.61,0.13,0.33,0.00,0.27,0.37,6,0.06,0,0
29,10,93,69,780,466,11,38,34,37,0,26,1,26,44,11,43,28,0,61,6,0.13869625520111,0.228310502283105,-1.59733777038269,-0.230366492146597,0.276679841897234,0.86092715231788,0.11,0.48,0.34,0.37,0.00,0.26,0.01,0.26,0.44,0.11,0.43,0.28,0.00,0.61,0.06,12,0.12,0,0
13,8,107,74,840,484,42,29,0,40,45,36,0,9,30,61,0,44,30,43,20,-2.08044382801664,-0.684931506849315,0.732113144758736,0.293193717277487,-2.09486166007905,-0.331125827814568,0.42,0.36,0.00,0.40,0.45,0.36,0.00,0.09,0.30,0.61,0.00,0.44,0.30,0.43,0.20,12,0.12,0,0
23,7,90,75,807,465,6,27,1,26,0,15,0,55,39,54,12,0,48,61,7,-0.693481276005548,-1.14155251141553,-2.09650582362729,0.397905759162303,-0.790513833992096,0.927152317880793,0.06,0.34,0.01,0.26,0.00,0.15,0.00,0.55,0.39,0.54,0.12,0.00,0.48,0.61,0.07,7,0.07,0,0
32,10,100,63,818,501,27,35,0,48,11,35,0,0,1,20,3,22,0,21,61,0.554785020804438,0.228310502283105,-0.432612312811979,-0.858638743455498,-1.22529644268775,-1.4569536423841,0.27,0.44,0.00,0.48,0.11,0.35,0.00,0.00,0.01,0.20,0.03,0.22,0.00,0.21,0.61,9,0.09,0,0
36,14,108,76,791,475,37,49,0,23,40,43,0,32,25,18,7,13,28,0,55,1.10957004160888,2.05479452054795,0.898502495840267,0.50261780104712,-0.158102766798419,0.264900662251656,0.37,0.61,0.00,0.23,0.40,0.43,0.00,0.32,0.25,0.18,0.07,0.13,0.28,0.00,0.55,55,0.55,3,1
37,12,103,82,786,463,34,43,0,13,3,31,0,15,13,33,0,16,3,61,8,1.24826629680999,1.14155251141553,0.0665557404326133,1.13089005235602,0.0395256916996039,1.05960264900662,0.34,0.54,0.00,0.13,0.03,0.31,0.00,0.15,0.13,0.33,0.00,0.16,0.03,0.61,0.08,11,0.11,0,0
29,11,98,71,789,480,41,40,14,34,0,25,28,30,0,61,25,30,10,36,7,0.13869625520111,0.684931506849315,-0.765391014975041,-0.0209424083769636,-0.0790513833992078,-0.0662251655629125,0.41,0.50,0.14,0.34,0.00,0.25,0.28,0.30,0.00,0.61,0.25,0.30,0.10,0.36,0.07,12,0.12,0,0
36,12,103,81,795,483,1,43,34,0,19,48,29,20,44,39,0,46,0,32,61,1.10957004160888,1.14155251141553,0.0665557404326133,1.0261780104712,-0.316205533596838,-0.264900662251656,0.01,0.54,0.34,0.00,0.19,0.48,0.29,0.20,0.44,0.39,0.00,0.46,0.00,0.32,0.61,14,0.14,0,0
8,8,101,57,780,505,30,23,21,7,21,0,36,25,13,23,31,5,36,0,0,-2.77392510402219,-0.684931506849315,-0.266222961730448,-1.4869109947644,0.276679841897234,-1.72185430463576,0.30,0.29,0.21,0.07,0.21,0.00,0.36,0.25,0.13,0.23,0.31,0.05,0.36,0.00,0.00,8,0.08,0,0
26,14,110,50,803,460,12,34,1,25,15,3,10,0,0,0,0,0,0,22,33,-0.277392510402219,2.05479452054795,1.23128119800333,-2.21989528795812,-0.632411067193673,1.25827814569537,0.12,0.43,0.01,0.25,0.15,0.03,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.33,2,0.02,0,0
31,13,111,68,758,474,19,54,52,39,50,43,61,36,53,31,29,56,50,18,0,0.416088765603329,1.59817351598174,1.39767054908486,-0.335078534031414,1.14624505928854,0.331125827814568,0.19,0.68,0.52,0.39,0.50,0.43,0.61,0.36,0.53,0.31,0.29,0.56,0.50,0.18,0.00,56,0.56,3,1
27,10,112,79,840,477,6,35,0,5,54,21,6,18,29,46,0,30,6,61,42,-0.13869625520111,0.228310502283105,1.56405990016639,0.81675392670157,-2.09486166007905,0.132450331125831,0.06,0.44,0.00,0.05,0.54,0.21,0.06,0.18,0.29,0.46,0.00,0.30,0.06,0.61,0.42,6,0.06,0,0
36,11,101,68,780,496,36,43,11,39,4,10,61,48,1,41,40,27,43,0,61,1.10957004160888,0.684931506849315,-0.266222961730448,-0.335078534031414,0.276679841897234,-1.12582781456954,0.36,0.54,0.11,0.39,0.04,0.10,0.61,0.48,0.01,0.41,0.40,0.27,0.43,0.00,0.61,16,0.16,1,0
28,10,105,69,804,483,3,35,0,2,12,33,3,0,46,7,24,0,27,32,0,0,0.228310502283105,0.399334442595675,-0.230366492146597,-0.671936758893277,-0.264900662251656,0.03,0.44,0.00,0.02,0.12,0.33,0.03,0.00,0.46,0.07,0.24,0.00,0.27,0.32,0.00,3,0.03,0,0
28,7,94,72,808,474,23,29,10,0,0,0,0,0,21,35,4,2,33,20,7,0,-1.14155251141553,-1.43094841930116,0.0837696335078531,-0.830039525691699,0.331125827814568,0.23,0.36,0.10,0.00,0.00,0.00,0.00,0.00,0.21,0.35,0.04,0.02,0.33,0.20,0.07,7,0.07,0,0
16,8,99,62,807,474,34,23,8,2,4,14,0,9,26,0,0,0,0,61,0,-1.66435506241331,-0.684931506849315,-0.59900166389351,-0.963350785340314,-0.790513833992096,0.331125827814568,0.34,0.29,0.08,0.02,0.04,0.14,0.00,0.09,0.26,0.00,0.00,0.00,0.00,0.61,0.00,9,0.09,0,0
40,10,104,75,797,459,20,48,14,30,1,27,6,28,21,18,6,42,18,61,4,1.66435506241331,0.228310502283105,0.232945091514144,0.397905759162303,-0.395256916996046,1.32450331125828,0.20,0.60,0.14,0.30,0.01,0.27,0.06,0.28,0.21,0.18,0.06,0.42,0.18,0.61,0.04,38,0.38,2,0
23,8,91,83,765,467,7,36,44,55,0,0,36,36,28,61,35,31,36,14,41,-0.693481276005548,-0.684931506849315,-1.93011647254576,1.23560209424084,0.869565217391303,0.794701986754968,0.07,0.45,0.44,0.55,0.00,0.00,0.36,0.36,0.28,0.61,0.35,0.31,0.36,0.14,0.41,8,0.08,0,0
21,10,102,75,756,468,25,36,34,15,3,0,21,0,20,34,22,20,0,46,27,-0.970873786407767,0.228310502283105,-0.0998336106489175,0.397905759162303,1.22529644268775,0.728476821192055,0.25,0.45,0.34,0.15,0.03,0.00,0.21,0.00,0.20,0.34,0.22,0.20,0.00,0.46,0.27,6,0.06,0,0
28,8,104,64,824,484,15,29,0,0,13,33,0,0,29,0,18,22,0,25,1,0,-0.684931506849315,0.232945091514144,-0.753926701570681,-1.46245059288538,-0.331125827814568,0.15,0.36,0.00,0.00,0.13,0.33,0.00,0.00,0.29,0.00,0.18,0.22,0.00,0.25,0.01,5,0.05,0,0
28,10,109,58,840,484,41,37,16,41,48,37,41,23,0,55,0,30,39,32,22,0,0.228310502283105,1.0648918469218,-1.38219895287958,-2.09486166007905,-0.331125827814568,0.41,0.46,0.16,0.41,0.48,0.37,0.41,0.23,0.00,0.55,0.00,0.30,0.39,0.32,0.22,14,0.14,0,0
30,6,91,68,825,485,44,30,0,55,0,0,0,42,0,61,0,7,31,25,61,0.277392510402219,-1.59817351598174,-1.93011647254576,-0.335078534031414,-1.50197628458498,-0.397350993377481,0.44,0.38,0.00,0.55,0.00,0.00,0.00,0.42,0.00,0.61,0.00,0.07,0.31,0.25,0.61,9,0.09,0,0
16,10,103,63,815,466,12,25,0,48,1,15,1,7,0,21,3,32,17,60,61,-1.66435506241331,0.228310502283105,0.0665557404326133,-0.858638743455498,-1.10671936758893,0.86092715231788,0.12,0.31,0.00,0.48,0.01,0.15,0.01,0.07,0.00,0.21,0.03,0.32,0.17,0.60,0.61,6,0.06,0,0
25,8,106,70,799,497,23,36,33,45,32,29,6,38,33,45,3,61,35,16,0,-0.416088765603329,-0.684931506849315,0.565723793677206,-0.12565445026178,-0.474308300395257,-1.19205298013245,0.23,0.45,0.33,0.45,0.32,0.29,0.06,0.38,0.33,0.45,0.03,0.61,0.35,0.16,0.00,9,0.09,0,0
28,12,95,71,753,477,11,41,30,36,0,33,35,13,0,60,49,57,4,29,30,0,1.14155251141553,-1.26455906821963,-0.0209424083769636,1.34387351778656,0.132450331125831,0.11,0.51,0.30,0.36,0.00,0.33,0.35,0.13,0.00,0.60,0.49,0.57,0.04,0.29,0.30,13,0.13,0,0
28,8,102,67,780,484,5,35,7,20,19,8,16,61,0,30,42,2,34,61,36,0,-0.684931506849315,-0.0998336106489175,-0.439790575916231,0.276679841897234,-0.331125827814568,0.05,0.44,0.07,0.20,0.19,0.08,0.16,0.61,0.00,0.30,0.42,0.02,0.34,0.61,0.36,9,0.09,0,0
28,8,96,68,780,505,35,36,23,46,0,54,3,31,33,51,31,16,8,0,2,0,-0.684931506849315,-1.0981697171381,-0.335078534031414,0.276679841897234,-1.72185430463576,0.35,0.45,0.23,0.46,0.00,0.54,0.03,0.31,0.33,0.51,0.31,0.16,0.08,0.00,0.02,25,0.25,1,0
28,10,106,75,801,488,14,38,41,53,27,36,2,33,35,46,0,56,0,30,20,0,0.228310502283105,0.565723793677206,0.397905759162303,-0.553359683794465,-0.596026490066224,0.14,0.48,0.41,0.53,0.27,0.36,0.02,0.33,0.35,0.46,0.00,0.56,0.00,0.30,0.20,7,0.07,0,0
26,6,105,64,780,489,31,32,26,0,46,0,0,11,18,0,4,16,0,0,18,-0.277392510402219,-1.59817351598174,0.399334442595675,-0.753926701570681,0.276679841897234,-0.662251655629137,0.31,0.40,0.26,0.00,0.46,0.00,0.00,0.11,0.18,0.00,0.04,0.16,0.00,0.00,0.18,10,0.10,0,0
15,7,95,68,825,480,15,18,0,0,0,0,31,0,0,34,15,0,22,40,50,-1.80305131761442,-1.14155251141553,-1.26455906821963,-0.335078534031414,-1.50197628458498,-0.0662251655629125,0.15,0.23,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.34,0.15,0.00,0.22,0.40,0.50,4,0.04,0,0
36,9,94,68,790,473,6,40,36,34,0,0,31,52,40,42,0,34,41,27,34,1.10957004160888,-0.228310502283105,-1.43094841930116,-0.335078534031414,-0.118577075098815,0.397350993377481,0.06,0.50,0.36,0.34,0.00,0.00,0.31,0.52,0.40,0.42,0.00,0.34,0.41,0.27,0.34,6,0.06,0,0
25,6,109,78,763,464,13,36,16,23,21,17,0,0,40,61,53,23,10,61,0,-0.416088765603329,-1.59817351598174,1.0648918469218,0.712041884816754,0.948616600790515,0.993377483443711,0.13,0.45,0.16,0.23,0.21,0.17,0.00,0.00,0.40,0.61,0.53,0.23,0.10,0.61,0.00,7,0.07,0,0
32,10,101,66,763,489,18,43,36,0,35,16,26,31,52,59,11,0,43,0,61,0.554785020804438,0.228310502283105,-0.266222961730448,-0.544502617801047,0.948616600790515,-0.662251655629137,0.18,0.54,0.36,0.00,0.35,0.16,0.26,0.31,0.52,0.59,0.11,0.00,0.43,0.00,0.61,26,0.26,1,0
28,7,102,69,780,469,11,31,22,0,9,0,6,9,35,0,14,22,8,61,2,0,-1.14155251141553,-0.0998336106489175,-0.230366492146597,0.276679841897234,0.662251655629137,0.11,0.39,0.22,0.00,0.09,0.00,0.06,0.09,0.35,0.00,0.14,0.22,0.08,0.61,0.02,6,0.06,0,0
25,8,95,77,792,497,17,29,0,24,0,0,7,16,0,61,25,0,0,0,0,-0.416088765603329,-0.684931506849315,-1.26455906821963,0.607329842931937,-0.197628458498023,-1.19205298013245,0.17,0.36,0.00,0.24,0.00,0.00,0.07,0.16,0.00,0.61,0.25,0.00,0.00,0.00,0.00,6,0.06,0,0
18,10,102,61,764,473,10,31,39,30,5,15,5,32,13,13,7,33,30,61,33,-1.3869625520111,0.228310502283105,-0.0998336106489175,-1.06806282722513,0.909090909090911,0.397350993377481,0.10,0.39,0.39,0.30,0.05,0.15,0.05,0.32,0.13,0.13,0.07,0.33,0.30,0.61,0.33,6,0.06,0,0
30,8,97,79,809,461,16,36,0,11,2,0,14,45,27,48,9,61,0,59,61,0.277392510402219,-0.684931506849315,-0.931780366056571,0.81675392670157,-0.869565217391303,1.19205298013245,0.16,0.45,0.00,0.11,0.02,0.00,0.14,0.45,0.27,0.48,0.09,0.61,0.00,0.59,0.61,38,0.38,2,0
33,10,92,49,762,512,35,36,4,42,0,11,4,21,0,0,32,20,0,0,48,0.693481276005548,0.228310502283105,-1.76372712146423,-2.32460732984293,0.988142292490119,-2.18543046357616,0.35,0.45,0.04,0.42,0.00,0.11,0.04,0.21,0.00,0.00,0.32,0.20,0.00,0.00,0.48,12,0.12,0,0
28,6,105,70,840,484,17,27,0,27,12,0,0,10,10,0,0,17,3,51,35,0,-1.59817351598174,0.399334442595675,-0.12565445026178,-2.09486166007905,-0.331125827814568,0.17,0.34,0.00,0.27,0.12,0.00,0.00,0.10,0.10,0.00,0.00,0.17,0.03,0.51,0.35,5,0.05,0,0
31,12,99,72,778,475,19,40,6,0,17,23,22,0,9,35,33,25,45,13,61,0.416088765603329,1.14155251141553,-0.59900166389351,0.0837696335078531,0.355731225296442,0.264900662251656,0.19,0.50,0.06,0.00,0.17,0.23,0.22,0.00,0.09,0.35,0.33,0.25,0.45,0.13,0.61,6,0.06,0,0
23,6,99,87,800,467,6,30,15,39,6,0,0,45,53,61,16,18,8,50,37,-0.693481276005548,-1.59817351598174,-0.59900166389351,1.6544502617801,-0.513833992094861,0.794701986754968,0.06,0.38,0.15,0.39,0.06,0.00,0.00,0.45,0.53,0.61,0.16,0.18,0.08,0.50,0.37,6,0.06,0,0
33,11,99,56,786,485,43,43,25,21,22,24,51,39,0,31,13,50,46,2,4,0.693481276005548,0.684931506849315,-0.59900166389351,-1.59162303664921,0.0395256916996039,-0.397350993377481,0.43,0.54,0.25,0.21,0.22,0.24,0.51,0.39,0.00,0.31,0.13,0.50,0.46,0.02,0.04,22,0.22,1,0
28,10,100,78,780,476,6,41,34,5,16,29,44,61,61,61,22,11,32,58,42,0,0.228310502283105,-0.432612312811979,0.712041884816754,0.276679841897234,0.198675496688743,0.06,0.51,0.34,0.05,0.16,0.29,0.44,0.61,0.61,0.61,0.22,0.11,0.32,0.58,0.42,15,0.15,0,0
33,8,105,68,806,487,1,34,14,24,14,0,21,0,18,33,8,11,0,25,8,0.693481276005548,-0.684931506849315,0.399334442595675,-0.335078534031414,-0.750988142292492,-0.529801324503312,0.01,0.43,0.14,0.24,0.14,0.00,0.21,0.00,0.18,0.33,0.08,0.11,0.00,0.25,0.08,0,0.00,0,0
26,10,105,63,814,483,28,34,1,42,30,9,13,0,26,0,0,5,14,51,29,-0.277392510402219,0.228310502283105,0.399334442595675,-0.858638743455498,-1.06719367588933,-0.264900662251656,0.28,0.43,0.01,0.42,0.30,0.09,0.13,0.00,0.26,0.00,0.00,0.05,0.14,0.51,0.29,8,0.08,0,0
28,10,98,54,780,515,14,32,23,23,7,21,39,33,0,41,58,12,0,3,61,0,0.228310502283105,-0.765391014975041,-1.80104712041885,0.276679841897234,-2.3841059602649,0.14,0.40,0.23,0.23,0.07,0.21,0.39,0.33,0.00,0.41,0.58,0.12,0.00,0.03,0.61,7,0.07,0,0
28,10,103,60,827,490,14,31,0,0,23,18,3,39,10,0,0,13,17,0,33,0,0.228310502283105,0.0665557404326133,-1.17277486910995,-1.58102766798419,-0.728476821192055,0.14,0.39,0.00,0.00,0.23,0.18,0.03,0.39,0.10,0.00,0.00,0.13,0.17,0.00,0.33,8,0.08,0,0
26,11,103,80,772,463,6,38,1,27,21,13,18,13,21,61,28,0,6,61,61,-0.277392510402219,0.684931506849315,0.0665557404326133,0.921465968586387,0.592885375494073,1.05960264900662,0.06,0.48,0.01,0.27,0.21,0.13,0.18,0.13,0.21,0.61,0.28,0.00,0.06,0.61,0.61,7,0.07,0,0
27,6,93,57,766,503,27,27,8,15,0,0,0,7,0,15,47,17,28,4,61,-0.13869625520111,-1.59817351598174,-1.59733777038269,-1.4869109947644,0.830039525691699,-1.58940397350994,0.27,0.34,0.08,0.15,0.00,0.00,0.00,0.07,0.00,0.15,0.47,0.17,0.28,0.04,0.61,8,0.08,0,0
37,13,110,83,772,471,11,49,17,58,33,22,30,17,27,21,18,0,3,19,61,1.24826629680999,1.59817351598174,1.23128119800333,1.23560209424084,0.592885375494073,0.529801324503312,0.11,0.61,0.17,0.58,0.33,0.22,0.30,0.17,0.27,0.21,0.18,0.00,0.03,0.19,0.61,16,0.16,1,0
21,12,102,65,757,484,19,37,43,0,20,34,45,0,0,48,26,0,29,0,59,-0.970873786407767,1.14155251141553,-0.0998336106489175,-0.649214659685864,1.18577075098814,-0.331125827814568,0.19,0.46,0.43,0.00,0.20,0.34,0.45,0.00,0.00,0.48,0.26,0.00,0.29,0.00,0.59,6,0.06,0,0
26,9,92,79,810,460,47,37,16,30,0,30,27,31,13,61,0,29,0,59,21,-0.277392510402219,-0.228310502283105,-1.76372712146423,0.81675392670157,-0.909090909090907,1.25827814569537,0.47,0.46,0.16,0.30,0.00,0.30,0.27,0.31,0.13,0.61,0.00,0.29,0.00,0.59,0.21,9,0.09,0,0
28,6,93,62,780,484,13,29,7,8,0,4,0,25,5,5,23,18,15,7,61,0,-1.59817351598174,-1.59733777038269,-0.963350785340314,0.276679841897234,-0.331125827814568,0.13,0.36,0.07,0.08,0.00,0.04,0.00,0.25,0.05,0.05,0.23,0.18,0.15,0.07,0.61,8,0.08,0,0
24,13,92,68,789,483,14,36,32,21,0,49,51,23,24,27,21,23,12,49,61,-0.554785020804438,1.59817351598174,-1.76372712146423,-0.335078534031414,-0.0790513833992078,-0.264900662251656,0.14,0.45,0.32,0.21,0.00,0.49,0.51,0.23,0.24,0.27,0.21,0.23,0.12,0.49,0.61,6,0.06,0,0
37,10,103,87,757,461,21,52,50,37,38,0,48,58,55,35,12,32,41,51,0,1.24826629680999,0.228310502283105,0.0665557404326133,1.6544502617801,1.18577075098814,1.19205298013245,0.21,0.65,0.50,0.37,0.38,0.00,0.48,0.58,0.55,0.35,0.12,0.32,0.41,0.51,0.00,31,0.31,2,0
40,9,112,79,800,471,40,52,6,37,61,25,25,38,22,61,26,26,31,50,61,1.66435506241331,-0.228310502283105,1.56405990016639,0.81675392670157,-0.513833992094861,0.529801324503312,0.40,0.65,0.06,0.37,0.61,0.25,0.25,0.38,0.22,0.61,0.26,0.26,0.31,0.50,0.61,48,0.48,2,1
41,15,115,75,796,494,20,55,36,53,58,37,41,25,52,0,0,39,28,5,5,1.80305131761442,2.51141552511416,2.06322795341098,0.397905759162303,-0.355731225296442,-0.993377483443711,0.20,0.69,0.36,0.53,0.58,0.37,0.41,0.25,0.52,0.00,0.00,0.39,0.28,0.05,0.05,49,0.49,2,1
36,9,112,66,786,446,37,43,0,0,55,1,18,0,0,12,10,9,12,61,0,1.10957004160888,-0.228310502283105,1.56405990016639,-0.544502617801047,0.0395256916996039,2.18543046357616,0.37,0.54,0.00,0.00,0.55,0.01,0.18,0.00,0.00,0.12,0.10,0.09,0.12,0.61,0.00,6,0.06,0,0
21,8,94,76,780,484,13,35,39,1,4,37,17,10,61,61,11,14,43,58,50,-0.970873786407767,-0.684931506849315,-1.43094841930116,0.50261780104712,0.276679841897234,-0.331125827814568,0.13,0.44,0.39,0.01,0.04,0.37,0.17,0.10,0.61,0.61,0.11,0.14,0.43,0.58,0.50,7,0.07,0,0
22,10,102,68,782,469,31,36,0,0,12,15,12,0,0,26,37,0,2,44,0,-0.832177531206657,0.228310502283105,-0.0998336106489175,-0.335078534031414,0.197628458498023,0.662251655629137,0.31,0.45,0.00,0.00,0.12,0.15,0.12,0.00,0.00,0.26,0.37,0.00,0.02,0.44,0.00,8,0.08,0,0
28,14,114,80,735,496,36,51,30,38,40,11,36,17,0,61,5,40,6,0,0,0,2.05479452054795,1.89683860232945,0.921465968586387,2.05533596837945,-1.12582781456954,0.36,0.64,0.30,0.38,0.40,0.11,0.36,0.17,0.00,0.61,0.05,0.40,0.06,0.00,0.00,37,0.37,2,0
16,7,106,79,765,473,22,31,6,0,4,21,0,36,0,61,60,10,36,61,54,-1.66435506241331,-1.14155251141553,0.565723793677206,0.81675392670157,0.869565217391303,0.397350993377481,0.22,0.39,0.06,0.00,0.04,0.21,0.00,0.36,0.00,0.61,0.60,0.10,0.36,0.61,0.54,10,0.10,0,0
28,14,99,70,772,456,49,49,12,12,31,61,40,36,17,5,23,38,0,61,61,0,2.05479452054795,-0.59900166389351,-0.12565445026178,0.592885375494073,1.52317880794702,0.49,0.61,0.12,0.12,0.31,0.61,0.40,0.36,0.17,0.05,0.23,0.38,0.00,0.61,0.61,35,0.35,2,0
23,8,105,56,737,509,17,35,54,18,34,0,39,35,28,0,58,22,55,4,24,-0.693481276005548,-0.684931506849315,0.399334442595675,-1.59162303664921,1.97628458498024,-1.98675496688742,0.17,0.44,0.54,0.18,0.34,0.00,0.39,0.35,0.28,0.00,0.58,0.22,0.55,0.04,0.24,9,0.09,0,0
19,8,112,72,798,472,28,35,6,45,46,0,40,0,46,12,11,0,17,56,61,-1.24826629680999,-0.684931506849315,1.56405990016639,0.0837696335078531,-0.434782608695653,0.463576158940399,0.28,0.44,0.06,0.45,0.46,0.00,0.40,0.00,0.46,0.12,0.11,0.00,0.17,0.56,0.61,8,0.08,0,0
14,13,109,71,805,478,13,31,0,24,34,42,13,4,9,24,12,4,0,32,61,-1.94174757281553,1.59817351598174,1.0648918469218,-0.0209424083769636,-0.711462450592888,0.0662251655629125,0.13,0.39,0.00,0.24,0.34,0.42,0.13,0.04,0.09,0.24,0.12,0.04,0.00,0.32,0.61,6,0.06,0,0
40,11,104,83,755,473,11,50,20,15,12,32,0,28,0,17,21,0,12,13,61,1.66435506241331,0.684931506849315,0.232945091514144,1.23560209424084,1.26482213438735,0.397350993377481,0.11,0.63,0.20,0.15,0.12,0.32,0.00,0.28,0.00,0.17,0.21,0.00,0.12,0.13,0.61,42,0.42,2,1
28,9,104,62,793,486,30,34,17,22,20,19,5,0,0,38,11,32,25,0,6,0,-0.228310502283105,0.232945091514144,-0.963350785340314,-0.237154150197627,-0.463576158940399,0.30,0.43,0.17,0.22,0.20,0.19,0.05,0.00,0.00,0.38,0.11,0.32,0.25,0.00,0.06,7,0.07,0,0
28,10,102,67,818,484,36,34,0,0,12,18,0,1,11,0,27,39,0,34,0,0,0.228310502283105,-0.0998336106489175,-0.439790575916231,-1.22529644268775,-0.331125827814568,0.36,0.43,0.00,0.00,0.12,0.18,0.00,0.01,0.11,0.00,0.27,0.39,0.00,0.34,0.00,7,0.07,0,0
36,9,106,80,780,475,17,44,51,15,18,0,32,26,20,61,0,32,4,53,61,1.10957004160888,-0.228310502283105,0.565723793677206,0.921465968586387,0.276679841897234,0.264900662251656,0.17,0.55,0.51,0.15,0.18,0.00,0.32,0.26,0.20,0.61,0.00,0.32,0.04,0.53,0.61,30,0.30,1,0
25,11,107,76,764,484,17,40,51,9,28,31,6,6,16,17,35,0,0,9,27,-0.416088765603329,0.684931506849315,0.732113144758736,0.50261780104712,0.909090909090911,-0.331125827814568,0.17,0.50,0.51,0.09,0.28,0.31,0.06,0.06,0.16,0.17,0.35,0.00,0.00,0.09,0.27,6,0.06,0,0
26,8,113,71,771,473,42,43,30,22,51,25,0,15,32,5,49,18,2,49,61,-0.277392510402219,-0.684931506849315,1.73044925124792,-0.0209424083769636,0.632411067193676,0.397350993377481,0.42,0.54,0.30,0.22,0.51,0.25,0.00,0.15,0.32,0.05,0.49,0.18,0.02,0.49,0.61,42,0.42,2,1
27,10,102,84,792,490,33,37,0,19,0,0,41,9,22,55,6,11,11,0,24,-0.13869625520111,0.228310502283105,-0.0998336106489175,1.34031413612565,-0.197628458498023,-0.728476821192055,0.33,0.46,0.00,0.19,0.00,0.00,0.41,0.09,0.22,0.55,0.06,0.11,0.11,0.00,0.24,9,0.09,0,0
33,9,100,67,807,483,25,37,0,38,27,18,4,33,5,44,31,9,42,31,54,0.693481276005548,-0.228310502283105,-0.432612312811979,-0.439790575916231,-0.790513833992096,-0.264900662251656,0.25,0.46,0.00,0.38,0.27,0.18,0.04,0.33,0.05,0.44,0.31,0.09,0.42,0.31,0.54,12,0.12,0,0
37,10,94,90,763,468,36,50,38,37,0,48,0,31,22,61,43,56,0,61,6,1.24826629680999,0.228310502283105,-1.43094841930116,1.96858638743455,0.948616600790515,0.728476821192055,0.36,0.63,0.38,0.37,0.00,0.48,0.00,0.31,0.22,0.61,0.43,0.56,0.00,0.61,0.06,26,0.26,1,0
22,7,105,77,769,499,17,34,39,8,23,0,16,0,38,61,3,0,36,4,61,-0.832177531206657,-1.14155251141553,0.399334442595675,0.607329842931937,0.711462450592884,-1.32450331125828,0.17,0.43,0.39,0.08,0.23,0.00,0.16,0.00,0.38,0.61,0.03,0.00,0.36,0.04,0.61,3,0.03,0,0
28,8,95,79,780,515,33,34,9,8,0,0,20,0,25,59,38,12,23,0,40,0,-0.684931506849315,-1.26455906821963,0.81675392670157,0.276679841897234,-2.3841059602649,0.33,0.43,0.09,0.08,0.00,0.00,0.20,0.00,0.25,0.59,0.38,0.12,0.23,0.00,0.40,8,0.08,0,0
22,8,100,74,778,503,19,30,17,39,0,0,10,17,20,53,14,0,8,18,18,-0.832177531206657,-0.684931506849315,-0.432612312811979,0.293193717277487,0.355731225296442,-1.58940397350994,0.19,0.38,0.17,0.39,0.00,0.00,0.10,0.17,0.20,0.53,0.14,0.00,0.08,0.18,0.18,7,0.07,0,0
16,8,97,69,813,479,6,21,14,0,0,28,0,0,0,50,14,34,0,61,61,-1.66435506241331,-0.684931506849315,-0.931780366056571,-0.230366492146597,-1.02766798418973,0,0.06,0.26,0.14,0.00,0.00,0.28,0.00,0.00,0.00,0.50,0.14,0.34,0.00,0.61,0.61,1,0.01,0,0
