Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Avoid_Drops,Get_Downfield,Route_Running,Third_Down_Receiving,Big_Play_Receiving,Courage,Adjust_to_Ball,Punt_Returns,Kick_Returns,Endurance,Special_Teams,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Avoid_DropsZ,Get_DownfieldZ,Route_RunningZ,Third_Down_ReceivingZ,Big_Play_ReceivingZ,CourageZ,Adjust_to_BallZ,Punt_ReturnsZ,Kick_ReturnsZ,EnduranceZ,Special_TeamsZ,PeakCur,PeakCurZ,Ability,Draftable
15,12,113,44,713,446,2,31,7,23,0,25,39,17,0,1,25,7,10,-0.858369098712446,0.679611650485437,0.995934959349595,0.372233400402415,0.670103092783505,0.961538461538458,0.02,0.39,0.07,0.23,0.00,0.25,0.39,0.17,0.00,0.01,0.25,0.07,0.10,18,0.18,1,0
7,12,111,44,760,474,32,22,59,0,0,46,11,48,46,0,30,68,54,-2.00286123032904,0.679611650485437,0.589430894308944,0.372233400402415,-1.75257731958763,-1.73076923076924,0.32,0.28,0.59,0.00,0.00,0.46,0.11,0.48,0.46,0.00,0.30,0.68,0.54,12,0.12,0,0
17,11,104,49,718,449,35,40,30,30,0,0,39,50,53,0,18,21,3,-0.572246065808298,0.355987055016181,-0.833333333333332,0.875251509054326,0.412371134020619,0.673076923076917,0.35,0.50,0.30,0.30,0.00,0.00,0.39,0.50,0.53,0.00,0.18,0.21,0.03,34,0.34,2,0
14,10,109,48,688,441,35,49,37,72,27,63,43,33,66,0,67,65,14,-1.00143061516452,0.0323624595469255,0.182926829268294,0.774647887323944,1.95876288659794,1.44230769230769,0.35,0.61,0.37,0.72,0.27,0.63,0.43,0.33,0.66,0.00,0.67,0.65,0.14,29,0.29,1,0
18,5,106,43,760,462,46,29,0,0,4,20,24,1,35,0,0,0,6,-0.429184549356223,-1.58576051779935,-0.426829268292682,0.271629778672032,-1.75257731958763,-0.576923076923082,0.46,0.36,0.00,0.00,0.04,0.20,0.24,0.01,0.35,0.00,0.00,0.00,0.06,12,0.12,0,0
15,5,115,26,757,451,36,28,3,0,3,0,52,0,0,0,43,19,0,-0.858369098712446,-1.58576051779935,1.40243902439025,-1.43863179074447,-1.5979381443299,0.480769230769229,0.36,0.35,0.03,0.00,0.03,0.00,0.52,0.00,0.00,0.00,0.43,0.19,0.00,17,0.17,1,0
20,9,110,27,740,464,16,26,3,8,35,1,7,6,4,6,0,7,32,-0.143061516452074,-0.29126213592233,0.386178861788619,-1.33802816901408,-0.721649484536085,-0.76923076923077,0.16,0.33,0.03,0.08,0.35,0.01,0.07,0.06,0.04,0.06,0.00,0.07,0.32,10,0.10,0,0
18,6,108,26,743,465,34,28,26,25,37,20,13,30,0,0,0,60,20,-0.429184549356223,-1.2621359223301,-0.0203252032520314,-1.43863179074447,-0.876288659793814,-0.865384615384623,0.34,0.35,0.26,0.25,0.37,0.20,0.13,0.30,0.00,0.00,0.00,0.60,0.20,18,0.18,1,0
24,11,109,41,723,451,34,45,24,51,41,68,33,41,43,46,0,48,43,0.429184549356223,0.355987055016181,0.182926829268294,0.0704225352112679,0.154639175257729,0.480769230769229,0.34,0.56,0.24,0.51,0.41,0.68,0.33,0.41,0.43,0.46,0.00,0.48,0.43,44,0.44,2,1
18,11,106,25,760,466,38,27,7,0,14,4,9,2,0,0,0,10,9,-0.429184549356223,0.355987055016181,-0.426829268292682,-1.53923541247485,-1.75257731958763,-0.961538461538467,0.38,0.34,0.07,0.00,0.14,0.04,0.09,0.02,0.00,0.00,0.00,0.10,0.09,12,0.12,0,0
14,7,105,29,731,456,45,32,0,18,19,71,10,12,32,0,0,48,26,-1.00143061516452,-0.938511326860842,-0.630081300813007,-1.13682092555332,-0.257731958762886,0,0.45,0.40,0.00,0.18,0.19,0.71,0.10,0.12,0.32,0.00,0.00,0.48,0.26,18,0.18,1,0
15,5,107,35,735,467,20,22,0,4,5,0,0,0,45,0,0,34,0,-0.858369098712446,-1.58576051779935,-0.223577235772357,-0.533199195171026,-0.463917525773195,-1.05769230769231,0.20,0.28,0.00,0.04,0.05,0.00,0.00,0.00,0.45,0.00,0.00,0.34,0.00,5,0.05,0,0
24,5,105,27,752,450,34,32,0,0,45,25,43,0,23,0,0,72,31,0.429184549356223,-1.58576051779935,-0.630081300813007,-1.33802816901408,-1.34020618556701,0.576923076923073,0.34,0.40,0.00,0.00,0.45,0.25,0.43,0.00,0.23,0.00,0.00,0.72,0.31,16,0.16,1,0
34,5,107,50,713,456,42,46,55,53,52,37,11,0,40,0,0,3,5,1.85979971387697,-1.58576051779935,-0.223577235772357,0.975855130784709,0.670103092783505,0,0.42,0.58,0.55,0.53,0.52,0.37,0.11,0.00,0.40,0.00,0.00,0.03,0.05,41,0.41,2,1
19,11,105,46,732,474,49,37,32,28,53,14,4,39,26,0,0,72,38,-0.286123032904149,0.355987055016181,-0.630081300813007,0.573440643863179,-0.309278350515466,-1.73076923076924,0.49,0.46,0.32,0.28,0.53,0.14,0.04,0.39,0.26,0.00,0.00,0.72,0.38,34,0.34,2,0
9,12,115,51,724,473,25,28,53,17,0,43,0,45,62,0,40,63,1,-1.71673819742489,0.679611650485437,1.40243902439025,1.07645875251509,0.103092783505152,-1.63461538461539,0.25,0.35,0.53,0.17,0.00,0.43,0.00,0.45,0.62,0.00,0.40,0.63,0.01,10,0.10,0,0
18,6,102,20,720,474,24,28,24,42,67,50,0,2,0,0,0,0,18,-0.429184549356223,-1.2621359223301,-1.23983739837398,-2.04225352112676,0.309278350515462,-1.73076923076924,0.24,0.35,0.24,0.42,0.67,0.50,0.00,0.02,0.00,0.00,0.00,0.00,0.18,12,0.12,0,0
17,5,102,28,756,450,34,29,2,0,39,5,34,0,9,0,0,0,20,-0.572246065808298,-1.58576051779935,-1.23983739837398,-1.2374245472837,-1.54639175257732,0.576923076923073,0.34,0.36,0.02,0.00,0.39,0.05,0.34,0.00,0.09,0.00,0.00,0.00,0.20,12,0.12,0,0
19,5,108,49,754,447,46,41,30,0,36,44,60,0,31,5,0,11,5,-0.286123032904149,-1.58576051779935,-0.0203252032520314,0.875251509054326,-1.44329896907217,0.865384615384614,0.46,0.51,0.30,0.00,0.36,0.44,0.60,0.00,0.31,0.05,0.00,0.11,0.05,27,0.27,1,0
22,5,102,50,735,451,28,37,28,11,11,49,33,0,22,0,0,1,6,0.143061516452074,-1.58576051779935,-1.23983739837398,0.975855130784709,-0.463917525773195,0.480769230769229,0.28,0.46,0.28,0.11,0.11,0.49,0.33,0.00,0.22,0.00,0.00,0.01,0.06,21,0.21,1,0
13,8,107,47,706,451,28,36,52,61,9,30,24,51,5,0,0,0,42,-1.1444921316166,-0.614886731391586,-0.223577235772357,0.674044265593562,1.03092783505155,0.480769230769229,0.28,0.45,0.52,0.61,0.09,0.30,0.24,0.51,0.05,0.00,0.00,0.00,0.42,19,0.19,1,0
20,10,108,30,758,452,29,28,0,0,22,0,27,8,3,0,7,29,1,-0.143061516452074,0.0323624595469255,-0.0203252032520314,-1.03621730382294,-1.64948453608248,0.384615384615385,0.29,0.35,0.00,0.00,0.22,0.00,0.27,0.08,0.03,0.00,0.07,0.29,0.01,11,0.11,0,0
30,11,108,42,720,460,30,40,23,40,60,32,0,10,22,0,0,20,25,1.28755364806867,0.355987055016181,-0.0203252032520314,0.17102615694165,0.309278350515462,-0.384615384615385,0.30,0.50,0.23,0.40,0.60,0.32,0.00,0.10,0.22,0.00,0.00,0.20,0.25,11,0.11,0,0
27,11,114,46,737,463,38,38,26,6,27,0,13,26,0,37,0,12,0,0.858369098712446,0.355987055016181,1.19918699186992,0.573440643863179,-0.567010309278352,-0.673076923076926,0.38,0.48,0.26,0.06,0.27,0.00,0.13,0.26,0.00,0.37,0.00,0.12,0.00,14,0.14,0,0
20,7,109,34,754,460,21,26,28,0,0,20,22,34,0,0,12,45,0,-0.143061516452074,-0.938511326860842,0.182926829268294,-0.633802816901408,-1.44329896907217,-0.384615384615385,0.21,0.33,0.28,0.00,0.00,0.20,0.22,0.34,0.00,0.00,0.12,0.45,0.00,11,0.11,0,0
18,14,113,49,706,467,28,41,35,52,55,30,0,34,41,0,46,42,36,-0.429184549356223,1.32686084142395,0.995934959349595,0.875251509054326,1.03092783505155,-1.05769230769231,0.28,0.51,0.35,0.52,0.55,0.30,0.00,0.34,0.41,0.00,0.46,0.42,0.36,36,0.36,2,0
20,11,110,52,715,465,16,35,62,33,58,71,0,21,43,0,13,51,23,-0.143061516452074,0.355987055016181,0.386178861788619,1.17706237424547,0.567010309278348,-0.865384615384623,0.16,0.44,0.62,0.33,0.58,0.71,0.00,0.21,0.43,0.00,0.13,0.51,0.23,12,0.12,0,0
15,6,105,27,728,451,48,35,0,56,33,59,15,11,11,0,0,56,72,-0.858369098712446,-1.2621359223301,-0.630081300813007,-1.33802816901408,-0.103092783505157,0.480769230769229,0.48,0.44,0.00,0.56,0.33,0.59,0.15,0.11,0.11,0.00,0.00,0.56,0.72,14,0.14,0,0
17,11,104,51,712,462,26,35,34,44,25,28,0,9,23,0,0,3,0,-0.572246065808298,0.355987055016181,-0.833333333333332,1.07645875251509,0.721649484536081,-0.576923076923082,0.26,0.44,0.34,0.44,0.25,0.28,0.00,0.09,0.23,0.00,0.00,0.03,0.00,10,0.10,0,0
18,11,112,43,707,450,16,35,5,20,5,32,25,22,20,0,0,9,8,-0.429184549356223,0.355987055016181,0.792682926829269,0.271629778672032,0.979381443298966,0.576923076923073,0.16,0.44,0.05,0.20,0.05,0.32,0.25,0.22,0.20,0.00,0.00,0.09,0.08,17,0.17,1,0
19,12,103,36,720,451,20,33,29,18,0,20,39,7,0,0,0,14,11,-0.286123032904149,0.679611650485437,-1.03658536585366,-0.432595573440644,0.309278350515462,0.480769230769229,0.20,0.41,0.29,0.18,0.00,0.20,0.39,0.07,0.00,0.00,0.00,0.14,0.11,20,0.20,1,0
24,12,102,46,756,478,37,27,11,0,6,28,0,28,37,0,0,40,0,0.429184549356223,0.679611650485437,-1.23983739837398,0.573440643863179,-1.54639175257732,-2.11538461538462,0.37,0.34,0.11,0.00,0.06,0.28,0.00,0.28,0.37,0.00,0.00,0.40,0.00,8,0.08,0,0
18,7,106,58,720,440,53,50,26,55,13,20,43,0,47,0,0,49,53,-0.429184549356223,-0.938511326860842,-0.426829268292682,1.78068410462777,0.309278350515462,1.53846153846153,0.53,0.63,0.26,0.55,0.13,0.20,0.43,0.00,0.47,0.00,0.00,0.49,0.53,26,0.26,1,0
22,8,108,40,759,474,33,27,33,0,45,37,0,6,0,27,0,52,27,0.143061516452074,-0.614886731391586,-0.0203252032520314,-0.0301810865191144,-1.70103092783505,-1.73076923076924,0.33,0.34,0.33,0.00,0.45,0.37,0.00,0.06,0.00,0.27,0.00,0.52,0.27,11,0.11,0,0
26,12,107,49,712,444,44,50,23,0,30,0,72,30,14,0,0,6,0,0.715307582260372,0.679611650485437,-0.223577235772357,0.875251509054326,0.721649484536081,1.15384615384615,0.44,0.63,0.23,0.00,0.30,0.00,0.72,0.30,0.14,0.00,0.00,0.06,0.00,48,0.48,2,1
31,5,106,41,728,446,41,45,18,15,32,39,49,0,25,0,0,44,42,1.43061516452074,-1.58576051779935,-0.426829268292682,0.0704225352112679,-0.103092783505157,0.961538461538458,0.41,0.56,0.18,0.15,0.32,0.39,0.49,0.00,0.25,0.00,0.00,0.44,0.42,37,0.37,2,0
13,14,104,54,702,443,33,48,48,26,25,72,72,68,41,0,0,72,19,-1.1444921316166,1.32686084142395,-0.833333333333332,1.37826961770624,1.23711340206186,1.25,0.33,0.60,0.48,0.26,0.25,0.72,0.72,0.68,0.41,0.00,0.00,0.72,0.19,63,0.63,3,1
18,8,102,29,720,451,16,36,66,40,67,72,26,72,56,0,0,0,0,-0.429184549356223,-0.614886731391586,-1.23983739837398,-1.13682092555332,0.309278350515462,0.480769230769229,0.16,0.45,0.66,0.40,0.67,0.72,0.26,0.72,0.56,0.00,0.00,0.00,0.00,18,0.18,1,0
18,11,105,36,691,451,50,42,8,30,2,25,0,7,14,0,0,18,0,-0.429184549356223,0.355987055016181,-0.630081300813007,-0.432595573440644,1.8041237113402,0.480769230769229,0.50,0.53,0.08,0.30,0.02,0.25,0.00,0.07,0.14,0.00,0.00,0.18,0.00,16,0.16,1,0
18,5,103,45,720,451,43,37,10,27,5,0,27,0,37,0,0,2,31,-0.429184549356223,-1.58576051779935,-1.03658536585366,0.472837022132797,0.309278350515462,0.480769230769229,0.43,0.46,0.10,0.27,0.05,0.00,0.27,0.00,0.37,0.00,0.00,0.02,0.31,15,0.15,0,0
15,5,121,42,745,460,33,30,3,0,10,0,7,0,38,46,33,14,13,-0.858369098712446,-1.58576051779935,2.6219512195122,0.17102615694165,-0.979381443298971,-0.384615384615385,0.33,0.38,0.03,0.00,0.10,0.00,0.07,0.00,0.38,0.46,0.33,0.14,0.13,14,0.14,0,0
13,11,107,42,699,451,38,37,10,17,0,35,20,0,14,0,0,34,8,-1.1444921316166,0.355987055016181,-0.223577235772357,0.17102615694165,1.39175257731959,0.480769230769229,0.38,0.46,0.10,0.17,0.00,0.35,0.20,0.00,0.14,0.00,0.00,0.34,0.08,15,0.15,0,0
26,9,102,27,720,458,45,37,11,13,20,27,8,6,0,0,0,0,0,0.715307582260372,-0.29126213592233,-1.23983739837398,-1.33802816901408,0.309278350515462,-0.192307692307697,0.45,0.46,0.11,0.13,0.20,0.27,0.08,0.06,0.00,0.00,0.00,0.00,0.00,20,0.20,1,0
26,6,109,49,730,450,37,42,35,12,37,23,36,0,22,0,0,7,50,0.715307582260372,-1.2621359223301,0.182926829268294,0.875251509054326,-0.206185567010309,0.576923076923073,0.37,0.53,0.35,0.12,0.37,0.23,0.36,0.00,0.22,0.00,0.00,0.07,0.50,34,0.34,2,0
18,11,103,45,726,451,29,35,17,8,0,24,32,6,19,0,0,0,12,-0.429184549356223,0.355987055016181,-1.03658536585366,0.472837022132797,0,0.480769230769229,0.29,0.44,0.17,0.08,0.00,0.24,0.32,0.06,0.19,0.00,0.00,0.00,0.12,18,0.18,1,0
18,5,102,36,720,473,32,27,26,19,0,22,0,0,14,0,0,16,0,-0.429184549356223,-1.58576051779935,-1.23983739837398,-0.432595573440644,0.309278350515462,-1.63461538461539,0.32,0.34,0.26,0.19,0.00,0.22,0.00,0.00,0.14,0.00,0.00,0.16,0.00,10,0.10,0,0
29,11,109,56,730,463,15,32,47,0,1,0,1,23,33,0,0,9,11,1.1444921316166,0.355987055016181,0.182926829268294,1.579476861167,-0.206185567010309,-0.673076923076926,0.15,0.40,0.47,0.00,0.01,0.00,0.01,0.23,0.33,0.00,0.00,0.09,0.11,7,0.07,0,0
26,8,106,41,748,449,42,36,26,0,0,36,45,0,0,0,0,11,0,0.715307582260372,-0.614886731391586,-0.426829268292682,0.0704225352112679,-1.1340206185567,0.673076923076917,0.42,0.45,0.26,0.00,0.00,0.36,0.45,0.00,0.00,0.00,0.00,0.11,0.00,16,0.16,1,0
18,11,107,45,739,465,52,36,25,3,34,10,0,44,7,0,0,68,47,-0.429184549356223,0.355987055016181,-0.223577235772357,0.472837022132797,-0.670103092783505,-0.865384615384623,0.52,0.45,0.25,0.03,0.34,0.10,0.00,0.44,0.07,0.00,0.00,0.68,0.47,13,0.13,0,0
18,10,107,45,742,473,26,27,23,0,51,16,0,6,23,0,27,6,0,-0.429184549356223,0.0323624595469255,-0.223577235772357,0.472837022132797,-0.824742268041238,-1.63461538461539,0.26,0.34,0.23,0.00,0.51,0.16,0.00,0.06,0.23,0.00,0.27,0.06,0.00,10,0.10,0,0
18,11,108,33,734,473,17,25,7,14,24,0,4,35,26,0,0,25,66,-0.429184549356223,0.355987055016181,-0.0203252032520314,-0.73440643863179,-0.412371134020619,-1.63461538461539,0.17,0.31,0.07,0.14,0.24,0.00,0.04,0.35,0.26,0.00,0.00,0.25,0.66,10,0.10,0,0
10,12,105,55,691,446,39,44,17,48,43,3,19,62,35,0,0,0,25,-1.57367668097282,0.679611650485437,-0.630081300813007,1.47887323943662,1.8041237113402,0.961538461538458,0.39,0.55,0.17,0.48,0.43,0.03,0.19,0.62,0.35,0.00,0.00,0.00,0.25,31,0.31,2,0
28,6,106,44,703,443,26,48,0,59,54,61,40,0,56,0,0,8,26,1.00143061516452,-1.2621359223301,-0.426829268292682,0.372233400402415,1.18556701030928,1.25,0.26,0.60,0.00,0.59,0.54,0.61,0.40,0.00,0.56,0.00,0.00,0.08,0.26,48,0.48,2,1
27,8,104,53,716,447,38,50,58,30,61,51,44,3,69,0,0,9,72,0.858369098712446,-0.614886731391586,-0.833333333333332,1.27766599597586,0.515463917525771,0.865384615384614,0.38,0.63,0.58,0.30,0.61,0.51,0.44,0.03,0.69,0.00,0.00,0.09,0.72,46,0.46,2,1
23,8,106,44,755,470,43,32,39,0,27,47,14,57,0,0,0,43,0,0.286123032904149,-0.614886731391586,-0.426829268292682,0.372233400402415,-1.49484536082474,-1.34615384615385,0.43,0.40,0.39,0.00,0.27,0.47,0.14,0.57,0.00,0.00,0.00,0.43,0.00,19,0.19,1,0
13,6,106,25,723,452,39,29,13,11,5,34,21,3,2,0,0,11,0,-1.1444921316166,-1.2621359223301,-0.426829268292682,-1.53923541247485,0.154639175257729,0.384615384615385,0.39,0.36,0.13,0.11,0.05,0.34,0.21,0.03,0.02,0.00,0.00,0.11,0.00,16,0.16,1,0
22,9,103,43,727,467,38,33,11,18,29,33,0,14,21,0,0,11,11,0.143061516452074,-0.29126213592233,-1.03658536585366,0.271629778672032,-0.0515463917525762,-1.05769230769231,0.38,0.41,0.11,0.18,0.29,0.33,0.00,0.14,0.21,0.00,0.00,0.11,0.11,9,0.09,0,0
10,14,103,32,708,451,41,34,0,21,0,41,19,42,2,0,0,0,5,-1.57367668097282,1.32686084142395,-1.03658536585366,-0.835010060362173,0.92783505154639,0.480769230769229,0.41,0.43,0.00,0.21,0.00,0.41,0.19,0.42,0.02,0.00,0.00,0.00,0.05,17,0.17,1,0
7,10,108,32,702,451,26,29,14,62,0,28,11,19,0,0,0,64,13,-2.00286123032904,0.0323624595469255,-0.0203252032520314,-0.835010060362173,1.23711340206186,0.480769230769229,0.26,0.36,0.14,0.62,0.00,0.28,0.11,0.19,0.00,0.00,0.00,0.64,0.13,18,0.18,1,0
18,9,107,43,713,454,17,31,4,38,4,18,9,20,29,0,0,7,0,-0.429184549356223,-0.29126213592233,-0.223577235772357,0.271629778672032,0.670103092783505,0.192307692307688,0.17,0.39,0.04,0.38,0.04,0.18,0.09,0.20,0.29,0.00,0.00,0.07,0.00,11,0.11,0,0
29,14,108,49,720,445,26,46,33,41,44,9,35,69,46,0,11,68,29,1.1444921316166,1.32686084142395,-0.0203252032520314,0.875251509054326,0.309278350515462,1.0576923076923,0.26,0.58,0.33,0.41,0.44,0.09,0.35,0.69,0.46,0.00,0.11,0.68,0.29,48,0.48,2,1
28,12,105,46,720,456,36,41,53,18,22,28,8,36,10,0,0,0,0,1.00143061516452,0.679611650485437,-0.630081300813007,0.573440643863179,0.309278350515462,0,0.36,0.51,0.53,0.18,0.22,0.28,0.08,0.36,0.10,0.00,0.00,0.00,0.00,18,0.18,1,0
32,5,107,55,748,460,9,28,41,0,23,23,4,0,25,0,0,23,1,1.57367668097282,-1.58576051779935,-0.223577235772357,1.47887323943662,-1.1340206185567,-0.384615384615385,0.09,0.35,0.41,0.00,0.23,0.23,0.04,0.00,0.25,0.00,0.00,0.23,0.01,7,0.07,0,0
21,13,117,33,734,448,37,42,0,21,0,35,37,45,33,49,0,28,25,0,1.00323624595469,1.8089430894309,-0.73440643863179,-0.412371134020619,0.769230769230761,0.37,0.53,0.00,0.21,0.00,0.35,0.37,0.45,0.33,0.49,0.00,0.28,0.25,18,0.18,1,0
18,5,119,18,742,449,34,32,0,9,33,0,44,0,0,52,0,13,34,-0.429184549356223,-1.58576051779935,2.21544715447155,-2.24346076458753,-0.824742268041238,0.673076923076917,0.34,0.40,0.00,0.09,0.33,0.00,0.44,0.00,0.00,0.52,0.00,0.13,0.34,16,0.16,1,0
34,10,107,35,720,458,19,35,7,6,34,37,9,14,8,0,0,52,34,1.85979971387697,0.0323624595469255,-0.223577235772357,-0.533199195171026,0.309278350515462,-0.192307692307697,0.19,0.44,0.07,0.06,0.34,0.37,0.09,0.14,0.08,0.00,0.00,0.52,0.34,14,0.14,0,0
30,12,103,45,724,451,42,44,20,7,21,27,20,35,48,0,0,28,17,1.28755364806867,0.679611650485437,-1.03658536585366,0.472837022132797,0.103092783505152,0.480769230769229,0.42,0.55,0.20,0.07,0.21,0.27,0.20,0.35,0.48,0.00,0.00,0.28,0.17,42,0.42,2,1
22,6,105,44,715,462,43,37,14,14,25,0,0,2,9,0,0,8,15,0.143061516452074,-1.2621359223301,-0.630081300813007,0.372233400402415,0.567010309278348,-0.576923076923082,0.43,0.46,0.14,0.14,0.25,0.00,0.00,0.02,0.09,0.00,0.00,0.08,0.15,14,0.14,0,0
27,12,105,42,710,455,32,43,52,43,56,23,2,22,0,0,0,62,72,0.858369098712446,0.679611650485437,-0.630081300813007,0.17102615694165,0.824742268041238,0.0961538461538441,0.32,0.54,0.52,0.43,0.56,0.23,0.02,0.22,0.00,0.00,0.00,0.62,0.72,25,0.25,1,0
31,6,113,36,720,461,36,35,3,7,21,5,1,0,0,0,16,0,3,1.43061516452074,-1.2621359223301,0.995934959349595,-0.432595573440644,0.309278350515462,-0.480769230769238,0.36,0.44,0.03,0.07,0.21,0.05,0.01,0.00,0.00,0.00,0.16,0.00,0.03,11,0.11,0,0
24,11,103,24,759,470,11,24,35,3,46,47,18,37,8,0,0,0,19,0.429184549356223,0.355987055016181,-1.03658536585366,-1.63983903420523,-1.70103092783505,-1.34615384615385,0.11,0.30,0.35,0.03,0.46,0.47,0.18,0.37,0.08,0.00,0.00,0.00,0.19,11,0.11,0,0
24,13,114,52,720,473,58,45,67,15,3,53,0,51,28,49,0,57,27,0.429184549356223,1.00323624595469,1.19918699186992,1.17706237424547,0.309278350515462,-1.63461538461539,0.58,0.56,0.67,0.15,0.03,0.53,0.00,0.51,0.28,0.49,0.00,0.57,0.27,18,0.18,1,0
14,8,107,33,743,451,34,29,21,2,24,5,21,0,0,0,0,0,21,-1.00143061516452,-0.614886731391586,-0.223577235772357,-0.73440643863179,-0.876288659793814,0.480769230769229,0.34,0.36,0.21,0.02,0.24,0.05,0.21,0.00,0.00,0.00,0.00,0.00,0.21,16,0.16,1,0
24,10,114,47,711,456,8,36,14,53,22,54,0,6,26,0,42,16,46,0.429184549356223,0.0323624595469255,1.19918699186992,0.674044265593562,0.773195876288657,0,0.08,0.45,0.14,0.53,0.22,0.54,0.00,0.06,0.26,0.00,0.42,0.16,0.46,15,0.15,0,0
25,6,110,43,720,451,17,36,0,19,38,0,36,7,36,0,18,5,4,0.572246065808298,-1.2621359223301,0.386178861788619,0.271629778672032,0.309278350515462,0.480769230769229,0.17,0.45,0.00,0.19,0.38,0.00,0.36,0.07,0.36,0.00,0.18,0.05,0.04,14,0.14,0,0
26,15,121,38,730,451,19,35,3,8,4,5,15,57,16,58,1,0,1,0.715307582260372,1.6504854368932,2.6219512195122,-0.231388329979879,-0.206185567010309,0.480769230769229,0.19,0.44,0.03,0.08,0.04,0.05,0.15,0.57,0.16,0.58,0.01,0.00,0.01,11,0.11,0,0
20,7,108,36,720,480,53,36,10,27,55,49,0,18,41,0,26,30,53,-0.143061516452074,-0.938511326860842,-0.0203252032520314,-0.432595573440644,0.309278350515462,-2.30769230769231,0.53,0.45,0.10,0.27,0.55,0.49,0.00,0.18,0.41,0.00,0.26,0.30,0.53,23,0.23,1,0
22,5,108,42,736,449,25,33,36,11,3,50,35,0,9,0,0,15,0,0.143061516452074,-1.58576051779935,-0.0203252032520314,0.17102615694165,-0.515463917525776,0.673076923076917,0.25,0.41,0.36,0.11,0.03,0.50,0.35,0.00,0.09,0.00,0.00,0.15,0.00,14,0.14,0,0
22,8,103,42,704,456,38,40,0,50,20,17,0,2,64,0,0,0,48,0.143061516452074,-0.614886731391586,-1.03658536585366,0.17102615694165,1.1340206185567,0,0.38,0.50,0.00,0.50,0.20,0.17,0.00,0.02,0.64,0.00,0.00,0.00,0.48,13,0.13,0,0
11,11,109,54,745,465,20,25,15,0,5,26,8,34,64,0,0,69,0,-1.43061516452074,0.355987055016181,0.182926829268294,1.37826961770624,-0.979381443298971,-0.865384615384623,0.20,0.31,0.15,0.00,0.05,0.26,0.08,0.34,0.64,0.00,0.00,0.69,0.00,6,0.06,0,0
10,14,107,41,744,458,6,21,41,0,4,0,29,54,54,0,0,13,28,-1.57367668097282,1.32686084142395,-0.223577235772357,0.0704225352112679,-0.927835051546395,-0.192307692307697,0.06,0.26,0.41,0.00,0.04,0.00,0.29,0.54,0.54,0.00,0.00,0.13,0.28,9,0.09,0,0
22,9,108,44,709,450,13,35,11,54,44,0,10,0,15,12,0,26,15,0.143061516452074,-0.29126213592233,-0.0203252032520314,0.372233400402415,0.876288659793814,0.576923076923073,0.13,0.44,0.11,0.54,0.44,0.00,0.10,0.00,0.15,0.12,0.00,0.26,0.15,14,0.14,0,0
19,13,107,56,760,462,35,37,58,0,57,61,25,28,52,0,0,9,0,-0.286123032904149,1.00323624595469,-0.223577235772357,1.579476861167,-1.75257731958763,-0.576923076923082,0.35,0.46,0.58,0.00,0.57,0.61,0.25,0.28,0.52,0.00,0.00,0.09,0.00,42,0.42,2,1
24,5,106,43,740,480,11,24,1,8,34,33,0,0,59,0,0,56,0,0.429184549356223,-1.58576051779935,-0.426829268292682,0.271629778672032,-0.721649484536085,-2.30769230769231,0.11,0.30,0.01,0.08,0.34,0.33,0.00,0.00,0.59,0.00,0.00,0.56,0.00,10,0.10,0,0
21,5,112,37,713,469,24,32,3,44,27,27,0,0,43,30,38,0,38,0,-1.58576051779935,0.792682926829269,-0.331991951710261,0.670103092783505,-1.25000000000001,0.24,0.40,0.03,0.44,0.27,0.27,0.00,0.00,0.43,0.30,0.38,0.00,0.38,10,0.10,0,0
30,13,104,34,752,456,20,31,32,0,14,30,28,42,0,0,0,0,0,1.28755364806867,1.00323624595469,-0.833333333333332,-0.633802816901408,-1.34020618556701,0,0.20,0.39,0.32,0.00,0.14,0.30,0.28,0.42,0.00,0.00,0.00,0.00,0.00,14,0.14,0,0
18,11,106,43,713,451,12,31,0,22,0,0,20,17,21,0,0,11,0,-0.429184549356223,0.355987055016181,-0.426829268292682,0.271629778672032,0.670103092783505,0.480769230769229,0.12,0.39,0.00,0.22,0.00,0.00,0.20,0.17,0.21,0.00,0.00,0.11,0.00,13,0.13,0,0
18,6,104,41,719,469,15,28,53,38,28,18,0,1,11,0,0,36,51,-0.429184549356223,-1.2621359223301,-0.833333333333332,0.0704225352112679,0.360824742268038,-1.25000000000001,0.15,0.35,0.53,0.38,0.28,0.18,0.00,0.01,0.11,0.00,0.00,0.36,0.51,6,0.06,0,0
13,13,110,48,754,473,23,23,7,0,6,0,3,21,71,0,18,0,24,-1.1444921316166,1.00323624595469,0.386178861788619,0.774647887323944,-1.44329896907217,-1.63461538461539,0.23,0.29,0.07,0.00,0.06,0.00,0.03,0.21,0.71,0.00,0.18,0.00,0.24,7,0.07,0,0
14,10,107,37,694,447,30,38,3,59,11,1,37,15,29,0,0,0,15,-1.00143061516452,0.0323624595469255,-0.223577235772357,-0.331991951710261,1.64948453608247,0.865384615384614,0.30,0.48,0.03,0.59,0.11,0.01,0.37,0.15,0.29,0.00,0.00,0.00,0.15,39,0.39,2,0
