Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Blocking,Pass_Blocking,Blocking_Strength,Power_Inside,Third_Down_Runs,Hole_Recognition,Blitz_Pickup,Avoid_Drops,Route_Running,Third_Down_Receiving,Endurance,Special_Teams,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_BlockingZ,Pass_BlockingZ,Blocking_StrengthZ,Power_InsideZ,Third_Down_RunsZ,Hole_RecognitionZ,Blitz_PickupZ,Avoid_DropsZ,Route_RunningZ,Third_Down_ReceivingZ,EnduranceZ,Special_TeamsZ,PeakCur,PeakCurZ,Ability,Draftable
32,15,104,20,740,473,28,37,0,29,41,6,36,14,31,10,15,23,3,29,1.75652173913044,-1.23076923076923,0.0197238658777109,-0.452729693741678,0.904522613065325,1.02564102564102,0.28,0.46,0.00,0.29,0.41,0.06,0.36,0.14,0.31,0.10,0.15,0.23,0.03,0.29,11,0.11,0,0
30,24,109,24,733,478,44,50,36,51,35,40,44,29,7,51,19,9,13,12,1.40869565217391,1.07692307692308,1.00591715976331,0.0798934753661786,1.25628140703518,0.384615384615376,0.44,0.63,0.36,0.51,0.35,0.40,0.44,0.29,0.07,0.51,0.19,0.09,0.13,0.12,37,0.37,2,0
20,21,107,15,760,488,60,42,29,20,31,31,22,0,10,21,2,0,0,44,-0.330434782608695,0.307692307692308,0.611439842209072,-1.1185086551265,-0.100502512562812,-0.897435897435901,0.60,0.53,0.29,0.20,0.31,0.31,0.22,0.00,0.10,0.21,0.02,0.00,0.00,0.44,19,0.19,1,0
12,19,105,24,756,480,19,31,13,30,14,13,43,0,34,28,19,25,8,22,-1.72173913043478,-0.205128205128205,0.216962524654831,0.0798934753661786,0.100502512562816,0.128205128205125,0.19,0.39,0.13,0.30,0.14,0.13,0.43,0.00,0.34,0.28,0.19,0.25,0.08,0.22,11,0.11,0,0
35,26,110,36,736,485,42,57,54,33,1,49,42,46,46,17,66,42,0,47,2.27826086956522,1.58974358974359,1.20315581854043,1.67776298268975,1.10552763819095,-0.512820512820513,0.42,0.71,0.54,0.33,0.01,0.49,0.42,0.46,0.46,0.17,0.66,0.42,0.00,0.47,32,0.32,2,0
28,25,98,35,801,484,48,44,30,31,43,60,0,34,67,39,33,44,46,21,1.06086956521739,1.33333333333333,-1.16370808678501,1.54460719041278,-2.1608040201005,-0.384615384615388,0.48,0.55,0.30,0.31,0.43,0.60,0.00,0.34,0.67,0.39,0.33,0.44,0.46,0.21,25,0.25,1,0
20,14,107,23,759,495,28,37,58,45,32,0,62,28,35,41,55,54,0,26,-0.330434782608695,-1.48717948717949,0.611439842209072,-0.0532623169107854,-0.050251256281406,-1.7948717948718,0.28,0.46,0.58,0.45,0.32,0.00,0.62,0.28,0.35,0.41,0.55,0.54,0.00,0.26,33,0.33,2,0
20,17,100,8,754,492,36,26,0,23,31,9,26,11,0,7,0,47,13,20,-0.330434782608695,-0.717948717948718,-0.76923076923077,-2.05059920106525,0.201005025125628,-1.41025641025641,0.36,0.33,0.00,0.23,0.31,0.09,0.26,0.11,0.00,0.07,0.00,0.47,0.13,0.20,9,0.09,0,0
27,23,100,25,771,478,17,33,7,23,0,33,2,30,23,19,36,22,0,58,0.886956521739131,0.82051282051282,-0.76923076923077,0.213049267643143,-0.653266331658291,0.384615384615376,0.17,0.41,0.07,0.23,0.00,0.33,0.02,0.30,0.23,0.19,0.36,0.22,0.00,0.58,11,0.11,0,0
20,18,93,24,736,482,56,36,0,46,7,8,22,8,31,0,19,30,28,1,-0.330434782608695,-0.461538461538462,-2.14990138067061,0.0798934753661786,1.10552763819095,-0.128205128205137,0.56,0.45,0.00,0.46,0.07,0.08,0.22,0.08,0.31,0.00,0.19,0.30,0.28,0.01,13,0.13,0,0
22,25,102,20,763,482,46,40,32,15,0,54,0,20,28,46,4,47,2,40,0.0173913043478263,1.33333333333333,-0.37475345167653,-0.452729693741678,-0.251256281407034,-0.128205128205137,0.46,0.50,0.32,0.15,0.00,0.54,0.00,0.20,0.28,0.46,0.04,0.47,0.02,0.40,17,0.17,1,0
20,20,100,18,760,486,39,31,5,0,0,24,28,0,0,14,33,16,19,31,-0.330434782608695,0.0512820512820511,-0.76923076923077,-0.719041278295606,-0.100502512562812,-0.64102564102565,0.39,0.39,0.05,0.00,0.00,0.24,0.28,0.00,0.00,0.14,0.33,0.16,0.19,0.31,10,0.10,0,0
17,16,94,24,760,469,35,28,9,4,20,1,0,34,45,14,13,66,25,33,-0.852173913043478,-0.974358974358975,-1.95266272189349,0.0798934753661786,-0.100502512562812,1.53846153846153,0.35,0.35,0.09,0.04,0.20,0.01,0.00,0.34,0.45,0.14,0.13,0.66,0.25,0.33,11,0.11,0,0
27,20,96,26,753,490,21,29,1,19,0,34,0,9,31,16,44,44,14,15,0.886956521739131,0.0512820512820511,-1.55818540433925,0.346205059920107,0.251256281407034,-1.15384615384616,0.21,0.36,0.01,0.19,0.00,0.34,0.00,0.09,0.31,0.16,0.44,0.44,0.14,0.15,10,0.10,0,0
10,21,95,23,794,489,51,29,29,23,0,55,0,16,46,23,50,31,0,13,-2.0695652173913,0.307692307692308,-1.75542406311637,-0.0532623169107854,-1.80904522613065,-1.02564102564103,0.51,0.36,0.29,0.23,0.00,0.55,0.00,0.16,0.46,0.23,0.50,0.31,0.00,0.13,18,0.18,1,0
19,25,109,36,760,487,53,53,62,23,0,58,50,14,52,47,68,33,25,26,-0.504347826086956,1.33333333333333,1.00591715976331,1.67776298268975,-0.100502512562812,-0.769230769230776,0.53,0.66,0.62,0.23,0.00,0.58,0.50,0.14,0.52,0.47,0.68,0.33,0.25,0.26,40,0.40,2,1
23,14,99,15,747,488,39,29,13,30,29,0,38,9,11,42,0,43,55,27,0.191304347826087,-1.48717948717949,-0.966469428007891,-1.1185086551265,0.552763819095479,-0.897435897435901,0.39,0.36,0.13,0.30,0.29,0.00,0.38,0.09,0.11,0.42,0.00,0.43,0.55,0.27,13,0.13,0,0
28,25,102,36,751,472,30,44,13,29,0,51,12,5,55,41,64,0,32,19,1.06086956521739,1.33333333333333,-0.37475345167653,1.67776298268975,0.351758793969851,1.15384615384615,0.30,0.55,0.13,0.29,0.00,0.51,0.12,0.05,0.55,0.41,0.64,0.00,0.32,0.19,15,0.15,0,0
20,20,102,23,756,490,24,33,30,26,22,26,13,25,19,27,17,39,23,0,-0.330434782608695,0.0512820512820511,-0.37475345167653,-0.0532623169107854,0.100502512562816,-1.15384615384616,0.24,0.41,0.30,0.26,0.22,0.26,0.13,0.25,0.19,0.27,0.17,0.39,0.23,0.00,16,0.16,1,0
16,21,108,10,796,494,20,27,52,17,0,38,0,29,0,20,5,56,4,7,-1.02608695652174,0.307692307692308,0.808678500986192,-1.78428761651132,-1.90954773869347,-1.66666666666668,0.20,0.34,0.52,0.17,0.00,0.38,0.00,0.29,0.00,0.20,0.05,0.56,0.04,0.07,15,0.15,0,0
20,19,108,33,744,483,56,47,28,7,22,8,39,0,5,32,50,23,24,2,-0.330434782608695,-0.205128205128205,0.808678500986192,1.27829560585886,0.703517587939697,-0.256410256410262,0.56,0.59,0.28,0.07,0.22,0.08,0.39,0.00,0.05,0.32,0.50,0.23,0.24,0.02,18,0.18,1,0
18,16,107,21,760,462,32,34,22,19,0,0,16,7,14,14,0,0,3,0,-0.678260869565217,-0.974358974358975,0.611439842209072,-0.319573901464714,-0.100502512562812,2.43589743589743,0.32,0.43,0.22,0.19,0.00,0.00,0.16,0.07,0.14,0.14,0.00,0.00,0.03,0.00,10,0.10,0,0
30,14,105,11,753,483,47,37,28,23,36,0,27,30,0,21,6,29,47,0,1.40869565217391,-1.48717948717949,0.216962524654831,-1.65113182423435,0.251256281407034,-0.256410256410262,0.47,0.46,0.28,0.23,0.36,0.00,0.27,0.30,0.00,0.21,0.06,0.29,0.47,0.00,15,0.15,0,0
17,15,98,34,739,488,27,31,20,31,40,0,0,0,48,24,33,46,26,50,-0.852173913043478,-1.23076923076923,-1.16370808678501,1.41145139813582,0.954773869346736,-0.897435897435901,0.27,0.39,0.20,0.31,0.40,0.00,0.00,0.00,0.48,0.24,0.33,0.46,0.26,0.50,8,0.08,0,0
29,14,108,25,787,489,30,36,33,0,18,0,5,28,48,14,16,40,30,11,1.23478260869565,-1.48717948717949,0.808678500986192,0.213049267643143,-1.4572864321608,-1.02564102564103,0.30,0.45,0.33,0.00,0.18,0.00,0.05,0.28,0.48,0.14,0.16,0.40,0.30,0.11,15,0.15,0,0
20,20,93,22,796,490,39,29,0,31,45,35,12,0,44,19,16,14,49,45,-0.330434782608695,0.0512820512820511,-2.14990138067061,-0.186418109187749,-1.90954773869347,-1.15384615384616,0.39,0.36,0.00,0.31,0.45,0.35,0.12,0.00,0.44,0.19,0.16,0.14,0.49,0.45,12,0.12,0,0
11,18,104,32,796,478,59,38,6,39,0,13,22,0,42,16,58,0,36,19,-1.89565217391304,-0.461538461538462,0.0197238658777109,1.14513981358189,-1.90954773869347,0.384615384615376,0.59,0.48,0.06,0.39,0.00,0.13,0.22,0.00,0.42,0.16,0.58,0.00,0.36,0.19,18,0.18,1,0
25,20,108,19,760,472,49,48,63,0,71,21,5,37,26,62,0,74,13,54,0.539130434782609,0.0512820512820511,0.808678500986192,-0.585885486018642,-0.100502512562812,1.15384615384615,0.49,0.60,0.63,0.00,0.71,0.21,0.05,0.37,0.26,0.62,0.00,0.74,0.13,0.54,26,0.26,1,0
27,21,103,18,729,470,20,37,10,27,24,25,38,25,0,44,49,40,24,9,0.886956521739131,0.307692307692308,-0.177514792899409,-0.719041278295606,1.4572864321608,1.4102564102564,0.20,0.46,0.10,0.27,0.24,0.25,0.38,0.25,0.00,0.44,0.49,0.40,0.24,0.09,12,0.12,0,0
20,23,103,12,775,478,19,29,10,25,47,56,25,0,13,38,0,25,36,12,-0.330434782608695,0.82051282051282,-0.177514792899409,-1.51797603195739,-0.854271356783919,0.384615384615376,0.19,0.36,0.10,0.25,0.47,0.56,0.25,0.00,0.13,0.38,0.00,0.25,0.36,0.12,14,0.14,0,0
20,14,106,23,760,481,55,43,58,22,25,0,44,5,39,68,24,0,42,37,-0.330434782608695,-1.48717948717949,0.414201183431952,-0.0532623169107854,-0.100502512562812,0,0.55,0.54,0.58,0.22,0.25,0.00,0.44,0.05,0.39,0.68,0.24,0.00,0.42,0.37,21,0.21,1,0
20,18,101,22,753,493,51,38,23,7,38,19,18,33,41,21,33,29,58,30,-0.330434782608695,-0.461538461538462,-0.57199211045365,-0.186418109187749,0.251256281407034,-1.53846153846154,0.51,0.48,0.23,0.07,0.38,0.19,0.18,0.33,0.41,0.21,0.33,0.29,0.58,0.30,21,0.21,1,0
28,26,111,31,738,473,17,45,31,37,0,44,39,15,19,8,16,17,0,20,1.06086956521739,1.58974358974359,1.40039447731755,1.01198402130493,1.00502512562814,1.02564102564102,0.17,0.56,0.31,0.37,0.00,0.44,0.39,0.15,0.19,0.08,0.16,0.17,0.00,0.20,16,0.16,1,0
35,24,108,31,714,459,25,53,33,42,47,28,55,63,29,61,62,44,51,46,2.27826086956522,1.07692307692308,0.808678500986192,1.01198402130493,2.21105527638191,2.82051282051282,0.25,0.66,0.33,0.42,0.47,0.28,0.55,0.63,0.29,0.61,0.62,0.44,0.51,0.46,50,0.50,2,1
13,27,109,24,760,479,22,38,28,45,25,67,44,0,3,26,35,25,1,31,-1.54782608695652,1.84615384615385,1.00591715976331,0.0798934753661786,-0.100502512562812,0.256410256410251,0.22,0.48,0.28,0.45,0.25,0.67,0.44,0.00,0.03,0.26,0.35,0.25,0.01,0.31,16,0.16,1,0
20,25,113,34,740,478,19,50,60,49,77,72,41,47,53,5,54,15,34,26,-0.330434782608695,1.33333333333333,1.79487179487179,1.41145139813582,0.904522613065325,0.384615384615376,0.19,0.63,0.60,0.49,0.77,0.72,0.41,0.47,0.53,0.05,0.54,0.15,0.34,0.26,61,0.61,3,1
23,17,102,22,753,478,53,38,0,17,8,22,27,21,40,45,13,43,4,13,0.191304347826087,-0.717948717948718,-0.37475345167653,-0.186418109187749,0.251256281407034,0.384615384615376,0.53,0.48,0.00,0.17,0.08,0.22,0.27,0.21,0.40,0.45,0.13,0.43,0.04,0.13,21,0.21,1,0
22,14,104,22,743,482,39,36,43,33,14,0,18,8,9,18,25,0,0,59,0.0173913043478263,-1.48717948717949,0.0197238658777109,-0.186418109187749,0.753768844221107,-0.128205128205137,0.39,0.45,0.43,0.33,0.14,0.00,0.18,0.08,0.09,0.18,0.25,0.00,0.00,0.59,13,0.13,0,0
31,20,108,22,753,477,38,44,10,27,47,18,47,39,23,10,18,35,6,60,1.58260869565217,0.0512820512820511,0.808678500986192,-0.186418109187749,0.251256281407034,0.512820512820513,0.38,0.55,0.10,0.27,0.47,0.18,0.47,0.39,0.23,0.10,0.18,0.35,0.06,0.60,16,0.16,1,0
32,15,94,19,772,494,51,31,1,7,38,0,0,48,25,0,4,24,12,14,1.75652173913044,-1.23076923076923,-1.95266272189349,-0.585885486018642,-0.703517587939697,-1.66666666666668,0.51,0.39,0.01,0.07,0.38,0.00,0.00,0.48,0.25,0.00,0.04,0.24,0.12,0.14,14,0.14,0,0
21,22,108,11,752,475,49,44,73,64,1,34,12,33,0,42,7,43,11,25,-0.156521739130435,0.564102564102564,0.808678500986192,-1.65113182423435,0.301507537688445,0.769230769230764,0.49,0.55,0.73,0.64,0.01,0.34,0.12,0.33,0.00,0.42,0.07,0.43,0.11,0.25,42,0.42,2,1
20,22,109,20,762,478,23,40,38,23,5,19,40,20,36,0,21,30,34,32,-0.330434782608695,0.564102564102564,1.00591715976331,-0.452729693741678,-0.201005025125628,0.384615384615376,0.23,0.50,0.38,0.23,0.05,0.19,0.40,0.20,0.36,0.00,0.21,0.30,0.34,0.32,14,0.14,0,0
12,26,100,22,742,478,26,33,0,36,37,57,35,0,6,57,39,58,18,29,-1.72173913043478,1.58974358974359,-0.76923076923077,-0.186418109187749,0.804020100502513,0.384615384615376,0.26,0.41,0.00,0.36,0.37,0.57,0.35,0.00,0.06,0.57,0.39,0.58,0.18,0.29,15,0.15,0,0
20,16,107,28,739,495,20,36,19,16,34,1,45,24,36,0,30,17,15,11,-0.330434782608695,-0.974358974358975,0.611439842209072,0.612516644474035,0.954773869346736,-1.7948717948718,0.20,0.45,0.19,0.16,0.34,0.01,0.45,0.24,0.36,0.00,0.30,0.17,0.15,0.11,15,0.15,0,0
18,21,104,30,760,490,22,38,54,0,15,32,0,7,64,0,31,11,65,44,-0.678260869565217,0.307692307692308,0.0197238658777109,0.878828229027963,-0.100502512562812,-1.15384615384616,0.22,0.48,0.54,0.00,0.15,0.32,0.00,0.07,0.64,0.00,0.31,0.11,0.65,0.44,12,0.12,0,0
28,20,97,24,781,476,42,34,0,28,10,21,5,0,27,2,0,0,5,0,1.06086956521739,0.0512820512820511,-1.36094674556213,0.0798934753661786,-1.15577889447236,0.641025641025639,0.42,0.43,0.00,0.28,0.10,0.21,0.05,0.00,0.27,0.02,0.00,0.00,0.05,0.00,14,0.14,0,0
20,14,102,32,738,476,25,34,5,5,12,0,46,19,27,36,40,56,24,0,-0.330434782608695,-1.48717948717949,-0.37475345167653,1.14513981358189,1.00502512562814,0.641025641025639,0.25,0.43,0.05,0.05,0.12,0.00,0.46,0.19,0.27,0.36,0.40,0.56,0.24,0.00,14,0.14,0,0
30,14,105,28,745,471,43,44,51,31,0,0,35,31,21,65,52,20,24,20,1.40869565217391,-1.48717948717949,0.216962524654831,0.612516644474035,0.653266331658291,1.28205128205128,0.43,0.55,0.51,0.31,0.00,0.00,0.35,0.31,0.21,0.65,0.52,0.20,0.24,0.20,20,0.20,1,0
22,22,104,24,778,475,42,44,44,65,34,33,49,38,24,48,33,65,45,8,0.0173913043478263,0.564102564102564,0.0197238658777109,0.0798934753661786,-1.00502512562814,0.769230769230764,0.42,0.55,0.44,0.65,0.34,0.33,0.49,0.38,0.24,0.48,0.33,0.65,0.45,0.08,25,0.25,1,0
20,15,104,19,747,478,54,38,11,19,19,0,18,0,1,48,7,46,26,12,-0.330434782608695,-1.23076923076923,0.0197238658777109,-0.585885486018642,0.552763819095479,0.384615384615376,0.54,0.48,0.11,0.19,0.19,0.00,0.18,0.00,0.01,0.48,0.07,0.46,0.26,0.12,18,0.18,1,0
20,22,103,20,796,489,41,34,19,4,35,39,22,18,17,0,0,0,56,23,-0.330434782608695,0.564102564102564,-0.177514792899409,-0.452729693741678,-1.90954773869347,-1.02564102564103,0.41,0.43,0.19,0.04,0.35,0.39,0.22,0.18,0.17,0.00,0.00,0.00,0.56,0.23,20,0.20,1,0
28,17,98,31,793,492,20,27,11,45,0,0,0,0,13,17,31,7,21,10,1.06086956521739,-0.717948717948718,-1.16370808678501,1.01198402130493,-1.75879396984924,-1.41025641025641,0.20,0.34,0.11,0.45,0.00,0.00,0.00,0.00,0.13,0.17,0.31,0.07,0.21,0.10,7,0.07,0,0
16,16,104,22,760,484,30,32,41,12,49,12,0,0,0,12,13,10,4,0,-1.02608695652174,-0.974358974358975,0.0197238658777109,-0.186418109187749,-0.100502512562812,-0.384615384615388,0.30,0.40,0.41,0.12,0.49,0.12,0.00,0.00,0.00,0.12,0.13,0.10,0.04,0.00,14,0.14,0,0
19,23,103,25,745,490,21,38,41,28,26,41,5,32,40,31,19,0,36,65,-0.504347826086956,0.82051282051282,-0.177514792899409,0.213049267643143,0.653266331658291,-1.15384615384616,0.21,0.48,0.41,0.28,0.26,0.41,0.05,0.32,0.40,0.31,0.19,0.00,0.36,0.65,21,0.21,1,0
20,20,101,24,760,478,24,33,7,0,25,18,0,22,16,3,11,0,0,43,-0.330434782608695,0.0512820512820511,-0.57199211045365,0.0798934753661786,-0.100502512562812,0.384615384615376,0.24,0.41,0.07,0.00,0.25,0.18,0.00,0.22,0.16,0.03,0.11,0.00,0.00,0.43,13,0.13,0,0
30,23,111,14,744,487,20,42,42,24,32,29,48,27,0,21,28,2,2,39,1.40869565217391,0.82051282051282,1.40039447731755,-1.25166444740346,0.703517587939697,-0.769230769230776,0.20,0.53,0.42,0.24,0.32,0.29,0.48,0.27,0.00,0.21,0.28,0.02,0.02,0.39,18,0.18,1,0
33,24,105,20,724,456,50,49,16,57,0,31,40,0,0,57,19,61,0,0,1.9304347826087,1.07692307692308,0.216962524654831,-0.452729693741678,1.70854271356784,3.20512820512821,0.50,0.61,0.16,0.57,0.00,0.31,0.40,0.00,0.00,0.57,0.19,0.61,0.00,0.00,33,0.33,2,0
24,19,104,33,768,484,44,44,46,21,39,8,0,36,22,39,65,0,33,42,0.365217391304348,-0.205128205128205,0.0197238658777109,1.27829560585886,-0.502512562814069,-0.384615384615388,0.44,0.55,0.46,0.21,0.39,0.08,0.00,0.36,0.22,0.39,0.65,0.00,0.33,0.42,37,0.37,2,0
17,16,108,26,747,478,47,39,23,0,11,4,52,0,9,23,6,2,0,0,-0.852173913043478,-0.974358974358975,0.808678500986192,0.346205059920107,0.552763819095479,0.384615384615376,0.47,0.49,0.23,0.00,0.11,0.04,0.52,0.00,0.09,0.23,0.06,0.02,0.00,0.00,18,0.18,1,0
17,16,108,18,789,477,49,38,46,35,48,4,14,0,0,45,25,27,5,11,-0.852173913043478,-0.974358974358975,0.808678500986192,-0.719041278295606,-1.55778894472362,0.512820512820513,0.49,0.48,0.46,0.35,0.48,0.04,0.14,0.00,0.00,0.45,0.25,0.27,0.05,0.11,22,0.22,1,0
17,24,95,24,780,485,50,33,17,0,2,32,0,0,0,0,39,55,6,0,-0.852173913043478,1.07692307692308,-1.75542406311637,0.0798934753661786,-1.10552763819095,-0.512820512820513,0.50,0.41,0.17,0.00,0.02,0.32,0.00,0.00,0.00,0.00,0.39,0.55,0.06,0.00,15,0.15,0,0
23,14,104,13,760,481,48,33,28,21,24,0,4,4,0,0,0,15,7,0,0.191304347826087,-1.48717948717949,0.0197238658777109,-1.38482023968043,-0.100502512562812,0,0.48,0.41,0.28,0.21,0.24,0.00,0.04,0.04,0.00,0.00,0.00,0.15,0.07,0.00,12,0.12,0,0
31,27,94,25,787,481,47,39,1,22,37,51,0,49,0,21,26,28,0,3,1.58260869565217,1.84615384615385,-1.95266272189349,0.213049267643143,-1.4572864321608,0,0.47,0.49,0.01,0.22,0.37,0.51,0.00,0.49,0.00,0.21,0.26,0.28,0.00,0.03,18,0.18,1,0
22,14,106,35,760,476,27,39,46,37,19,0,18,50,50,12,32,42,0,58,0.0173913043478263,-1.48717948717949,0.414201183431952,1.54460719041278,-0.100502512562812,0.641025641025639,0.27,0.49,0.46,0.37,0.19,0.00,0.18,0.50,0.50,0.12,0.32,0.42,0.00,0.58,15,0.15,0,0
27,14,103,30,745,490,46,39,15,3,22,0,24,35,54,0,32,32,24,14,0.886956521739131,-1.48717948717949,-0.177514792899409,0.878828229027963,0.653266331658291,-1.15384615384616,0.46,0.49,0.15,0.03,0.22,0.00,0.24,0.35,0.54,0.00,0.32,0.32,0.24,0.14,17,0.17,1,0
14,23,108,22,766,478,47,42,13,15,31,50,17,0,20,38,5,32,29,46,-1.37391304347826,0.82051282051282,0.808678500986192,-0.186418109187749,-0.402010050251257,0.384615384615376,0.47,0.53,0.13,0.15,0.31,0.50,0.17,0.00,0.20,0.38,0.05,0.32,0.29,0.46,20,0.20,1,0
23,22,106,22,742,469,21,39,37,20,4,26,10,23,32,14,0,0,29,44,0.191304347826087,0.564102564102564,0.414201183431952,-0.186418109187749,0.804020100502513,1.53846153846153,0.21,0.49,0.37,0.20,0.04,0.26,0.10,0.23,0.32,0.14,0.00,0.00,0.29,0.44,12,0.12,0,0
14,24,105,15,768,478,52,37,19,22,0,58,16,0,7,0,0,4,30,23,-1.37391304347826,1.07692307692308,0.216962524654831,-1.1185086551265,-0.502512562814069,0.384615384615376,0.52,0.46,0.19,0.22,0.00,0.58,0.16,0.00,0.07,0.00,0.00,0.04,0.30,0.23,19,0.19,1,0
29,20,107,30,766,478,41,44,17,3,50,17,16,9,10,5,13,15,18,0,1.23478260869565,0.0512820512820511,0.611439842209072,0.878828229027963,-0.402010050251257,0.384615384615376,0.41,0.55,0.17,0.03,0.50,0.17,0.16,0.09,0.10,0.05,0.13,0.15,0.18,0.00,17,0.17,1,0
23,24,97,18,750,477,52,37,0,13,6,43,12,3,26,62,0,1,4,23,0.191304347826087,1.07692307692308,-1.36094674556213,-0.719041278295606,0.402010050251257,0.512820512820513,0.52,0.46,0.00,0.13,0.06,0.43,0.12,0.03,0.26,0.62,0.00,0.01,0.04,0.23,22,0.22,1,0
23,16,97,26,758,482,19,27,0,4,12,0,28,15,0,1,54,35,20,41,0.191304347826087,-0.974358974358975,-1.36094674556213,0.346205059920107,0,-0.128205128205137,0.19,0.34,0.00,0.04,0.12,0.00,0.28,0.15,0.00,0.01,0.54,0.35,0.20,0.41,8,0.08,0,0
16,19,108,25,768,485,17,33,35,33,1,16,40,16,24,0,23,0,0,13,-1.02608695652174,-0.205128205128205,0.808678500986192,0.213049267643143,-0.502512562814069,-0.512820512820513,0.17,0.41,0.35,0.33,0.01,0.16,0.40,0.16,0.24,0.00,0.23,0.00,0.00,0.13,12,0.12,0,0
27,14,95,18,760,494,43,27,35,6,0,0,0,32,0,0,42,0,0,29,0.886956521739131,-1.48717948717949,-1.75542406311637,-0.719041278295606,-0.100502512562812,-1.66666666666668,0.43,0.34,0.35,0.06,0.00,0.00,0.00,0.32,0.00,0.00,0.42,0.00,0.00,0.29,11,0.11,0,0
19,14,105,32,729,477,29,38,37,16,23,0,21,0,19,0,20,2,8,0,-0.504347826086956,-1.48717948717949,0.216962524654831,1.14513981358189,1.4572864321608,0.512820512820513,0.29,0.48,0.37,0.16,0.23,0.00,0.21,0.00,0.19,0.00,0.20,0.02,0.08,0.00,12,0.12,0,0
23,20,106,22,747,495,42,39,14,4,30,31,28,7,28,6,2,0,10,0,0.191304347826087,0.0512820512820511,0.414201183431952,-0.186418109187749,0.552763819095479,-1.7948717948718,0.42,0.49,0.14,0.04,0.30,0.31,0.28,0.07,0.28,0.06,0.02,0.00,0.10,0.00,34,0.34,2,0
33,25,100,22,744,486,41,44,50,31,0,46,0,28,21,0,43,34,59,21,1.9304347826087,1.33333333333333,-0.76923076923077,-0.186418109187749,0.703517587939697,-0.64102564102565,0.41,0.55,0.50,0.31,0.00,0.46,0.00,0.28,0.21,0.00,0.43,0.34,0.59,0.21,19,0.19,1,0
28,21,102,22,760,466,46,44,0,25,26,30,30,24,25,30,3,7,44,0,1.06086956521739,0.307692307692308,-0.37475345167653,-0.186418109187749,-0.100502512562812,1.92307692307692,0.46,0.55,0.00,0.25,0.26,0.30,0.30,0.24,0.25,0.30,0.03,0.07,0.44,0.00,19,0.19,1,0
17,17,96,15,760,495,25,24,16,32,0,10,49,23,29,12,16,38,64,11,-0.852173913043478,-0.717948717948718,-1.55818540433925,-1.1185086551265,-0.100502512562812,-1.7948717948718,0.25,0.30,0.16,0.32,0.00,0.10,0.49,0.23,0.29,0.12,0.16,0.38,0.64,0.11,15,0.15,0,0
26,14,94,18,753,478,59,38,19,7,34,0,14,41,25,15,25,15,64,0,0.71304347826087,-1.48717948717949,-1.95266272189349,-0.719041278295606,0.251256281407034,0.384615384615376,0.59,0.48,0.19,0.07,0.34,0.00,0.14,0.41,0.25,0.15,0.25,0.15,0.64,0.00,21,0.21,1,0
28,29,105,34,730,478,36,47,0,0,1,54,0,18,23,0,7,28,8,4,1.06086956521739,2.35897435897436,0.216962524654831,1.41145139813582,1.4070351758794,0.384615384615376,0.36,0.59,0.00,0.00,0.01,0.54,0.00,0.18,0.23,0.00,0.07,0.28,0.08,0.04,16,0.16,1,0
11,24,107,29,757,475,61,48,54,44,8,52,25,0,44,5,35,0,25,0,-1.89565217391304,1.07692307692308,0.611439842209072,0.745672436750999,0.050251256281406,0.769230769230764,0.61,0.60,0.54,0.44,0.08,0.52,0.25,0.00,0.44,0.05,0.35,0.00,0.25,0.00,47,0.47,2,1
33,17,101,20,766,487,32,33,14,0,0,8,0,11,15,17,0,27,22,0,1.9304347826087,-0.717948717948718,-0.57199211045365,-0.452729693741678,-0.402010050251257,-0.769230769230776,0.32,0.41,0.14,0.00,0.00,0.08,0.00,0.11,0.15,0.17,0.00,0.27,0.22,0.00,13,0.13,0,0
28,21,109,34,734,465,48,57,40,60,64,34,64,64,57,42,20,48,21,64,1.06086956521739,0.307692307692308,1.00591715976331,1.41145139813582,1.20603015075377,2.05128205128204,0.48,0.71,0.40,0.60,0.64,0.34,0.64,0.64,0.57,0.42,0.20,0.48,0.21,0.64,62,0.62,3,1
28,16,101,17,766,493,18,27,10,0,11,5,20,16,29,22,1,31,15,48,1.06086956521739,-0.974358974358975,-0.57199211045365,-0.85219707057257,-0.402010050251257,-1.53846153846154,0.18,0.34,0.10,0.00,0.11,0.05,0.20,0.16,0.29,0.22,0.01,0.31,0.15,0.48,7,0.07,0,0
30,23,103,25,760,478,42,47,26,50,43,64,7,57,36,14,50,38,47,28,1.40869565217391,0.82051282051282,-0.177514792899409,0.213049267643143,-0.100502512562812,0.384615384615376,0.42,0.59,0.26,0.50,0.43,0.64,0.07,0.57,0.36,0.14,0.50,0.38,0.47,0.28,51,0.51,3,1
12,17,102,27,733,473,29,32,0,47,9,0,37,3,7,0,35,41,28,36,-1.72173913043478,-0.717948717948718,-0.37475345167653,0.479360852197071,1.25628140703518,1.02564102564102,0.29,0.40,0.00,0.47,0.09,0.00,0.37,0.03,0.07,0.00,0.35,0.41,0.28,0.36,10,0.10,0,0
