Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Blocking,Pass_Blocking,Blocking_Strength,Endurance,Long_Snapping,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_BlockingZ,Pass_BlockingZ,Blocking_StrengthZ,EnduranceZ,Long_SnappingZ,PeakCur,PeakCurZ,Ability,Draftable
16,25,91,0,812,531,16,33,30,1,30,23,2,-1.37791286727457,0.497925311203319,0.388639760837069,NaN,0,0.300751879699248,0.16,0.41,0.30,0.01,0.30,0.23,0.02,17,0.17,1,0
48,28,83,0,782,519,33,46,19,16,27,0,0,1.86423505572442,1.12033195020747,-0.807174887892377,NaN,1.36363636363636,1.20300751879699,0.33,0.58,0.19,0.16,0.27,0.00,0.00,31,0.31,2,0
17,22,97,0,824,531,39,37,45,12,0,44,1,-1.27659574468085,-0.12448132780083,1.28550074738415,NaN,-0.54545454545455,0.300751879699248,0.39,0.46,0.45,0.12,0.00,0.44,0.01,12,0.12,0,0
24,25,88,0,816,531,31,39,28,20,21,41,0,-0.567375886524823,0.497925311203319,-0.0597907324364732,NaN,-0.181818181818186,0.300751879699248,0.31,0.49,0.28,0.20,0.21,0.41,0.00,36,0.36,2,0
17,17,96,0,802,550,45,24,0,7,0,30,17,-1.27659574468085,-1.16182572614108,1.13602391629297,NaN,0.454545454545453,-1.12781954887218,0.45,0.30,0.00,0.07,0.00,0.30,0.17,8,0.08,0,0
25,25,91,0,806,532,6,31,22,5,28,18,2,-0.466058763931105,0.497925311203319,0.388639760837069,NaN,0.272727272727267,0.225563909774431,0.06,0.39,0.22,0.05,0.28,0.18,0.02,15,0.15,0,0
35,20,93,0,789,548,45,33,0,40,7,44,17,0.547112462006079,-0.53941908713693,0.687593423019431,NaN,1.04545454545454,-0.977443609022562,0.45,0.41,0.00,0.40,0.07,0.44,0.17,10,0.10,0,0
31,22,79,0,800,550,46,28,0,24,8,0,0,0.141843971631206,-0.12448132780083,-1.4050822122571,NaN,0.545454545454542,-1.12781954887218,0.46,0.35,0.00,0.24,0.08,0.00,0.00,8,0.08,0,0
24,20,91,0,818,525,32,38,38,29,19,62,0,-0.567375886524823,-0.53941908713693,0.388639760837069,NaN,-0.272727272727275,0.751879699248118,0.32,0.48,0.38,0.29,0.19,0.62,0.00,34,0.34,2,0
33,22,98,0,757,513,23,53,24,62,3,21,0,0.344478216818642,-0.12448132780083,1.43497757847534,NaN,2.5,1.65413533834586,0.23,0.66,0.24,0.62,0.03,0.21,0.00,50,0.50,2,1
15,24,86,0,813,520,16,36,43,21,8,12,0,-1.47922998986829,0.290456431535269,-0.358744394618835,NaN,-0.0454545454545526,1.12781954887218,0.16,0.45,0.43,0.21,0.08,0.12,0.00,9,0.09,0,0
24,32,92,0,787,531,40,50,9,35,41,8,0,-0.567375886524823,1.95020746887967,0.53811659192825,NaN,1.13636363636363,0.300751879699248,0.40,0.63,0.09,0.35,0.41,0.08,0.00,36,0.36,2,0
24,20,86,0,794,550,28,23,0,30,0,0,21,-0.567375886524823,-0.53941908713693,-0.358744394618835,NaN,0.818181818181813,-1.12781954887218,0.28,0.29,0.00,0.30,0.00,0.00,0.21,7,0.07,0,0
41,28,88,0,790,541,30,37,0,16,34,7,0,1.15501519756839,1.12033195020747,-0.0597907324364732,NaN,0.999999999999995,-0.451127819548876,0.30,0.46,0.00,0.16,0.34,0.07,0.00,13,0.13,0,0
42,35,100,0,759,532,30,59,8,62,59,31,0,1.25633232016211,2.57261410788382,1.7339312406577,NaN,2.40909090909091,0.225563909774431,0.30,0.74,0.08,0.62,0.59,0.31,0.00,30,0.30,1,0
40,24,83,0,790,538,26,36,3,44,17,7,12,1.05369807497467,0.290456431535269,-0.807174887892377,NaN,0.999999999999995,-0.225563909774438,0.26,0.45,0.03,0.44,0.17,0.07,0.12,11,0.11,0,0
24,21,82,0,788,535,31,35,6,31,4,0,0,-0.567375886524823,-0.33195020746888,-0.956651718983558,NaN,1.09090909090909,0,0.31,0.44,0.06,0.31,0.04,0.00,0.00,23,0.23,1,0
33,17,79,0,840,550,38,24,0,0,0,0,4,0.344478216818642,-1.16182572614108,-1.4050822122571,NaN,-1.27272727272728,-1.12781954887218,0.38,0.30,0.00,0.00,0.00,0.00,0.04,4,0.04,0,0
35,25,81,0,840,543,2,15,0,0,16,1,0,0.547112462006079,0.497925311203319,-1.10612855007474,NaN,-1.27272727272728,-0.601503759398497,0.02,0.19,0.00,0.00,0.16,0.01,0.00,7,0.07,0,0
38,20,95,0,780,535,14,38,8,62,10,38,9,0.851063829787234,-0.53941908713693,0.986547085201793,NaN,1.45454545454545,0,0.14,0.48,0.08,0.62,0.10,0.38,0.09,46,0.46,2,1
18,17,83,0,834,548,25,12,0,0,0,0,31,-1.17527862208713,-1.16182572614108,-0.807174887892377,NaN,-1,-0.977443609022562,0.25,0.15,0.00,0.00,0.00,0.00,0.31,8,0.08,0,0
19,17,78,0,799,550,25,17,0,17,0,0,10,-1.07396149949341,-1.16182572614108,-1.55455904334828,NaN,0.590909090909086,-1.12781954887218,0.25,0.21,0.00,0.17,0.00,0.00,0.10,2,0.02,0,0
14,25,81,0,800,550,36,26,0,29,22,2,6,-1.58054711246201,0.497925311203319,-1.10612855007474,NaN,0.545454545454542,-1.12781954887218,0.36,0.33,0.00,0.29,0.22,0.02,0.06,8,0.08,0,0
40,25,88,0,801,536,33,40,34,47,19,19,0,1.05369807497467,0.497925311203319,-0.0597907324364732,NaN,0.499999999999997,-0.0751879699248171,0.33,0.50,0.34,0.47,0.19,0.19,0.00,15,0.15,0,0
21,26,89,0,781,523,23,46,31,33,20,8,0,-0.871327254305978,0.705394190871369,0.0896860986547077,NaN,1.40909090909091,0.902255639097738,0.23,0.58,0.31,0.33,0.20,0.08,0.00,20,0.20,1,0
31,20,86,0,833,547,44,21,0,0,0,0,26,0.141843971631206,-0.53941908713693,-0.358744394618835,NaN,-0.954545454545458,-0.902255639097745,0.44,0.26,0.00,0.00,0.00,0.00,0.26,10,0.10,0,0
41,25,88,0,769,546,18,32,0,30,14,0,0,1.15501519756839,0.497925311203319,-0.0597907324364732,NaN,1.95454545454545,-0.827067669172935,0.18,0.40,0.00,0.30,0.14,0.00,0.00,9,0.09,0,0
21,18,85,0,840,549,33,14,0,0,0,0,0,-0.871327254305978,-0.954356846473029,-0.508221225710016,NaN,-1.27272727272728,-1.05263157894737,0.33,0.18,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0
36,29,96,0,811,533,5,38,30,5,35,61,0,0.648429584599797,1.32780082987552,1.13602391629297,NaN,0.0454545454545445,0.150375939849621,0.05,0.48,0.30,0.05,0.35,0.61,0.00,16,0.16,1,0
48,24,85,0,786,513,30,52,49,39,17,42,3,1.86423505572442,0.290456431535269,-0.508221225710016,NaN,1.18181818181818,1.65413533834586,0.30,0.65,0.49,0.39,0.17,0.42,0.03,45,0.45,2,1
40,26,81,0,836,549,38,23,0,0,25,0,18,1.05369807497467,0.705394190871369,-1.10612855007474,NaN,-1.09090909090909,-1.05263157894737,0.38,0.29,0.00,0.00,0.25,0.00,0.18,10,0.10,0,0
42,34,104,0,774,501,48,73,61,51,44,61,0,1.25633232016211,2.36514522821577,2.33183856502242,NaN,1.72727272727272,2.55639097744361,0.48,0.91,0.61,0.51,0.44,0.61,0.00,79,0.79,4,1
14,24,86,0,800,539,37,32,23,14,16,0,8,-1.58054711246201,0.290456431535269,-0.358744394618835,NaN,0.545454545454542,-0.300751879699248,0.37,0.40,0.23,0.14,0.16,0.00,0.08,11,0.11,0,0
18,24,96,0,840,507,14,38,61,0,19,58,18,-1.17527862208713,0.290456431535269,1.13602391629297,NaN,-1.27272727272728,2.10526315789473,0.14,0.48,0.61,0.00,0.19,0.58,0.18,21,0.21,1,0
25,17,84,0,840,550,18,18,0,0,0,0,61,-0.466058763931105,-1.16182572614108,-0.657698056801197,NaN,-1.27272727272728,-1.12781954887218,0.18,0.23,0.00,0.00,0.00,0.00,0.61,22,0.22,1,0
31,17,81,0,840,550,46,26,0,0,0,0,44,0.141843971631206,-1.16182572614108,-1.10612855007474,NaN,-1.27272727272728,-1.12781954887218,0.46,0.33,0.00,0.00,0.00,0.00,0.44,11,0.11,0,0
36,25,91,0,811,550,33,28,0,6,31,12,0,0.648429584599797,0.497925311203319,0.388639760837069,NaN,0.0454545454545445,-1.12781954887218,0.33,0.35,0.00,0.06,0.31,0.12,0.00,13,0.13,0,0
15,26,84,0,808,526,15,35,21,28,16,0,7,-1.47922998986829,0.705394190871369,-0.657698056801197,NaN,0.181818181818178,0.676691729323307,0.15,0.44,0.21,0.28,0.16,0.00,0.07,10,0.10,0,0
15,23,89,0,802,550,42,28,0,19,16,11,0,-1.47922998986829,0.0829875518672196,0.0896860986547077,NaN,0.454545454545453,-1.12781954887218,0.42,0.35,0.00,0.19,0.16,0.11,0.00,12,0.12,0,0
13,25,86,0,840,531,21,30,45,0,25,44,8,-1.68186423505572,0.497925311203319,-0.358744394618835,NaN,-1.27272727272728,0.300751879699248,0.21,0.38,0.45,0.00,0.25,0.44,0.08,19,0.19,1,0
24,17,80,0,813,547,38,21,0,1,0,0,0,-0.567375886524823,-1.16182572614108,-1.25560538116592,NaN,-0.0454545454545526,-0.902255639097745,0.38,0.26,0.00,0.01,0.00,0.00,0.00,3,0.03,0,0
24,19,94,0,797,543,22,30,13,30,0,48,0,-0.567375886524823,-0.746887966804979,0.837070254110612,NaN,0.681818181818179,-0.601503759398497,0.22,0.38,0.13,0.30,0.00,0.48,0.00,13,0.13,0,0
39,20,87,0,799,549,24,23,0,17,6,2,0,0.952380952380952,-0.53941908713693,-0.209267563527654,NaN,0.590909090909086,-1.05263157894737,0.24,0.29,0.00,0.17,0.06,0.02,0.00,6,0.06,0,0
24,25,94,0,811,531,15,38,28,23,14,59,6,-0.567375886524823,0.497925311203319,0.837070254110612,NaN,0.0454545454545445,0.300751879699248,0.15,0.48,0.28,0.23,0.14,0.59,0.06,23,0.23,1,0
13,17,94,0,840,525,33,25,4,0,0,16,0,-1.68186423505572,-1.16182572614108,0.837070254110612,NaN,-1.27272727272728,0.751879699248118,0.33,0.31,0.04,0.00,0.00,0.16,0.00,10,0.10,0,0
17,26,104,0,800,532,3,35,14,13,17,55,12,-1.27659574468085,0.705394190871369,2.33183856502242,NaN,0.545454545454542,0.225563909774431,0.03,0.44,0.14,0.13,0.17,0.55,0.12,13,0.13,0,0
29,22,92,0,814,528,15,32,43,0,11,1,10,-0.0607902735562312,-0.12448132780083,0.53811659192825,NaN,-0.090909090909097,0.52631578947368,0.15,0.40,0.43,0.00,0.11,0.01,0.10,14,0.14,0,0
43,29,90,0,792,525,10,46,43,25,57,30,0,1.35764944275583,1.32780082987552,0.239162929745889,NaN,0.909090909090906,0.751879699248118,0.10,0.58,0.43,0.25,0.57,0.30,0.00,41,0.41,2,1
42,30,88,0,810,526,42,46,22,1,59,7,15,1.25633232016211,1.53526970954357,-0.0597907324364732,NaN,0.090909090909089,0.676691729323307,0.42,0.58,0.22,0.01,0.59,0.07,0.15,44,0.44,2,1
26,21,98,0,809,499,41,53,61,29,0,56,5,-0.364741641337386,-0.33195020746888,1.43497757847534,NaN,0.136363636363633,2.70676691729323,0.41,0.66,0.61,0.29,0.00,0.56,0.05,54,0.54,3,1
35,19,85,0,825,550,10,12,0,9,0,2,13,0.547112462006079,-0.746887966804979,-0.508221225710016,NaN,-0.590909090909094,-1.12781954887218,0.10,0.15,0.00,0.09,0.00,0.02,0.13,3,0.03,0,0
23,29,89,0,800,531,37,44,5,12,42,10,8,-0.668693009118541,1.32780082987552,0.0896860986547077,NaN,0.545454545454542,0.300751879699248,0.37,0.55,0.05,0.12,0.42,0.10,0.08,32,0.32,2,0
22,27,81,0,783,549,49,37,0,34,31,0,14,-0.77001013171226,0.912863070539419,-1.10612855007474,NaN,1.31818181818181,-1.05263157894737,0.49,0.46,0.00,0.34,0.31,0.00,0.14,15,0.15,0,0
25,25,93,0,840,531,24,30,3,0,30,24,0,-0.466058763931105,0.497925311203319,0.687593423019431,NaN,-1.27272727272728,0.300751879699248,0.24,0.38,0.03,0.00,0.30,0.24,0.00,16,0.16,1,0
20,20,87,0,795,550,15,23,3,58,9,20,0,-0.972644376899696,-0.53941908713693,-0.209267563527654,NaN,0.772727272727268,-1.12781954887218,0.15,0.29,0.03,0.58,0.09,0.20,0.00,7,0.07,0,0
14,18,88,0,802,531,4,25,16,21,0,18,2,-1.58054711246201,-0.954356846473029,-0.0597907324364732,NaN,0.454545454545453,0.300751879699248,0.04,0.31,0.16,0.21,0.00,0.18,0.02,2,0.02,0,0
27,18,84,0,840,550,13,8,0,0,0,0,47,-0.263424518743668,-0.954356846473029,-0.657698056801197,NaN,-1.27272727272728,-1.12781954887218,0.13,0.10,0.00,0.00,0.00,0.00,0.47,14,0.14,0,0
46,28,91,0,840,540,30,29,0,0,29,38,10,1.66160081053698,1.12033195020747,0.388639760837069,NaN,-1.27272727272728,-0.375939849624065,0.30,0.36,0.00,0.00,0.29,0.38,0.10,13,0.13,0,0
18,21,84,0,798,531,11,29,17,15,3,0,3,-1.17527862208713,-0.33195020746888,-0.657698056801197,NaN,0.636363636363631,0.300751879699248,0.11,0.36,0.17,0.15,0.03,0.00,0.03,8,0.08,0,0
37,28,90,0,798,512,48,57,40,48,39,26,5,0.749746707193516,1.12033195020747,0.239162929745889,NaN,0.636363636363631,1.72932330827067,0.48,0.71,0.40,0.48,0.39,0.26,0.05,28,0.28,1,0
24,17,78,0,840,550,27,21,0,0,0,0,0,-0.567375886524823,-1.16182572614108,-1.55455904334828,NaN,-1.27272727272728,-1.12781954887218,0.27,0.26,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0
41,26,91,0,805,534,45,42,15,31,18,0,0,1.15501519756839,0.705394190871369,0.388639760837069,NaN,0.318181818181811,0.0751879699248104,0.45,0.53,0.15,0.31,0.18,0.00,0.00,15,0.15,0,0
24,30,97,0,809,531,18,40,22,8,27,56,0,-0.567375886524823,1.53526970954357,1.28550074738415,NaN,0.136363636363633,0.300751879699248,0.18,0.50,0.22,0.08,0.27,0.56,0.00,25,0.25,1,0
24,18,87,0,825,548,17,15,0,0,0,0,61,-0.567375886524823,-0.954356846473029,-0.209267563527654,NaN,-0.590909090909094,-0.977443609022562,0.17,0.19,0.00,0.00,0.00,0.00,0.61,17,0.17,1,0
13,27,91,0,840,543,36,25,8,0,32,12,0,-1.68186423505572,0.912863070539419,0.388639760837069,NaN,-1.27272727272728,-0.601503759398497,0.36,0.31,0.08,0.00,0.32,0.12,0.00,14,0.14,0,0
38,18,82,0,840,548,28,15,0,0,0,0,9,0.851063829787234,-0.954356846473029,-0.956651718983558,NaN,-1.27272727272728,-0.977443609022562,0.28,0.19,0.00,0.00,0.00,0.00,0.09,4,0.04,0,0
35,21,94,0,804,540,44,35,9,11,12,24,4,0.547112462006079,-0.33195020746888,0.837070254110612,NaN,0.363636363636364,-0.375939849624065,0.44,0.44,0.09,0.11,0.12,0.24,0.04,15,0.15,0,0
13,26,86,0,840,515,21,32,56,0,15,0,2,-1.68186423505572,0.705394190871369,-0.358744394618835,NaN,-1.27272727272728,1.50375939849624,0.21,0.40,0.56,0.00,0.15,0.00,0.02,11,0.11,0,0
43,33,89,0,774,521,1,52,49,61,61,33,0,1.35764944275583,2.15767634854772,0.0896860986547077,NaN,1.72727272727272,1.05263157894737,0.01,0.65,0.49,0.61,0.61,0.33,0.00,69,0.69,3,1
21,25,89,0,815,516,24,38,44,0,17,3,0,-0.871327254305978,0.497925311203319,0.0896860986547077,NaN,-0.136363636363642,1.42857142857142,0.24,0.48,0.44,0.00,0.17,0.03,0.00,14,0.14,0,0
23,29,95,0,774,535,12,43,29,41,20,28,8,-0.668693009118541,1.32780082987552,0.986547085201793,NaN,1.72727272727272,0,0.12,0.54,0.29,0.41,0.20,0.28,0.08,20,0.20,1,0
35,17,94,0,814,537,7,22,0,2,0,15,2,0.547112462006079,-1.16182572614108,0.837070254110612,NaN,-0.090909090909097,-0.150375939849628,0.07,0.28,0.00,0.02,0.00,0.15,0.02,3,0.03,0,0
36,17,81,0,797,530,8,30,25,38,0,0,2,0.648429584599797,-1.16182572614108,-1.10612855007474,NaN,0.681818181818179,0.375939849624059,0.08,0.38,0.25,0.38,0.00,0.00,0.02,2,0.02,0,0
30,24,93,0,801,547,35,30,0,20,14,25,0,0.0405268490374872,0.290456431535269,0.687593423019431,NaN,0.499999999999997,-0.902255639097745,0.35,0.38,0.00,0.20,0.14,0.25,0.00,11,0.11,0,0
25,17,83,0,840,550,18,18,0,0,0,0,0,-0.466058763931105,-1.16182572614108,-0.807174887892377,NaN,-1.27272727272728,-1.12781954887218,0.18,0.23,0.00,0.00,0.00,0.00,0.00,1,0.01,0,0
15,25,83,0,789,509,30,47,41,41,28,0,2,-1.47922998986829,0.497925311203319,-0.807174887892377,NaN,1.04545454545454,1.95488721804511,0.30,0.59,0.41,0.41,0.28,0.00,0.02,56,0.56,3,1
26,17,83,0,840,550,32,23,0,0,0,0,61,-0.364741641337386,-1.16182572614108,-0.807174887892377,NaN,-1.27272727272728,-1.12781954887218,0.32,0.29,0.00,0.00,0.00,0.00,0.61,18,0.18,1,0
33,25,99,0,800,531,17,38,14,16,26,15,0,0.344478216818642,0.497925311203319,1.58445440956652,NaN,0.545454545454542,0.300751879699248,0.17,0.48,0.14,0.16,0.26,0.15,0.00,40,0.40,2,1
17,27,102,0,800,531,44,47,3,13,40,25,19,-1.27659574468085,0.912863070539419,2.03288490284006,NaN,0.545454545454542,0.300751879699248,0.44,0.59,0.03,0.13,0.40,0.25,0.19,52,0.52,3,1
24,32,102,0,792,542,15,43,11,42,51,61,0,-0.567375886524823,1.95020746887967,2.03288490284006,NaN,0.909090909090906,-0.526315789473686,0.15,0.54,0.11,0.42,0.51,0.61,0.00,28,0.28,1,0
37,17,85,0,840,550,32,14,0,0,0,0,54,0.749746707193516,-1.16182572614108,-0.508221225710016,NaN,-1.27272727272728,-1.12781954887218,0.32,0.18,0.00,0.00,0.00,0.00,0.54,14,0.14,0,0
44,18,81,0,796,538,17,24,0,15,0,0,14,1.45896656534954,-0.954356846473029,-1.10612855007474,NaN,0.727272727272724,-0.225563909774438,0.17,0.30,0.00,0.15,0.00,0.00,0.14,3,0.03,0,0
14,25,99,0,830,547,23,23,0,0,24,44,17,-1.58054711246201,0.497925311203319,1.58445440956652,NaN,-0.818181818181825,-0.902255639097745,0.23,0.29,0.00,0.00,0.24,0.44,0.17,12,0.12,0,0
22,19,90,0,822,547,22,17,1,0,5,31,16,-0.77001013171226,-0.746887966804979,0.239162929745889,NaN,-0.454545454545461,-0.902255639097745,0.22,0.21,0.01,0.00,0.05,0.31,0.16,7,0.07,0,0
24,27,102,0,800,516,19,45,31,3,23,2,0,-0.567375886524823,0.912863070539419,2.03288490284006,NaN,0.545454545454542,1.42857142857142,0.19,0.56,0.31,0.03,0.23,0.02,0.00,33,0.33,2,0
35,24,87,0,794,512,10,43,49,35,0,16,0,0.547112462006079,0.290456431535269,-0.209267563527654,NaN,0.818181818181813,1.72932330827067,0.10,0.54,0.49,0.35,0.00,0.16,0.00,19,0.19,1,0
32,17,92,0,800,526,27,37,36,4,7,34,6,0.243161094224924,-1.16182572614108,0.53811659192825,NaN,0.545454545454542,0.676691729323307,0.27,0.46,0.36,0.04,0.07,0.34,0.06,29,0.29,1,0
16,25,94,0,800,527,40,47,40,37,54,25,0,-1.37791286727457,0.497925311203319,0.837070254110612,NaN,0.545454545454542,0.601503759398497,0.40,0.59,0.40,0.37,0.54,0.25,0.00,60,0.60,3,1
30,17,84,0,840,550,30,22,0,0,0,0,25,0.0405268490374872,-1.16182572614108,-0.657698056801197,NaN,-1.27272727272728,-1.12781954887218,0.30,0.28,0.00,0.00,0.00,0.00,0.25,9,0.09,0,0
46,26,90,0,800,536,33,39,0,27,34,25,8,1.66160081053698,0.705394190871369,0.239162929745889,NaN,0.545454545454542,-0.0751879699248171,0.33,0.49,0.00,0.27,0.34,0.25,0.08,15,0.15,0,0
49,17,84,0,838,547,28,15,0,0,0,0,39,1.96555217831814,-1.16182572614108,-0.657698056801197,NaN,-1.18181818181819,-0.902255639097745,0.28,0.19,0.00,0.00,0.00,0.00,0.39,13,0.13,0,0
43,28,98,0,807,542,38,38,0,21,31,43,4,1.35764944275583,1.12033195020747,1.43497757847534,NaN,0.227272727272722,-0.526315789473686,0.38,0.48,0.00,0.21,0.31,0.43,0.04,19,0.19,1,0
28,25,92,0,785,515,7,46,39,47,18,33,0,-0.16210739614995,0.497925311203319,0.53811659192825,NaN,1.22727272727273,1.50375939849624,0.07,0.58,0.39,0.47,0.18,0.33,0.00,32,0.32,2,0
47,23,90,0,800,531,23,38,27,29,4,0,0,1.7629179331307,0.0829875518672196,0.239162929745889,NaN,0.545454545454542,0.300751879699248,0.23,0.48,0.27,0.29,0.04,0.00,0.00,8,0.08,0,0
13,17,83,0,800,539,15,19,9,18,0,0,0,-1.68186423505572,-1.16182572614108,-0.807174887892377,NaN,0.545454545454542,-0.300751879699248,0.15,0.24,0.09,0.18,0.00,0.00,0.00,2,0.02,0,0
40,27,94,0,812,508,19,46,50,14,12,40,0,1.05369807497467,0.912863070539419,0.837070254110612,NaN,0,2.03007518796992,0.19,0.58,0.50,0.14,0.12,0.40,0.00,51,0.51,3,1
43,25,81,0,784,518,32,47,31,33,8,0,0,1.35764944275583,0.497925311203319,-1.10612855007474,NaN,1.27272727272727,1.2781954887218,0.32,0.59,0.31,0.33,0.08,0.00,0.00,21,0.21,1,0
35,25,81,0,790,531,26,40,22,48,12,0,6,0.547112462006079,0.497925311203319,-1.10612855007474,NaN,0.999999999999995,0.300751879699248,0.26,0.50,0.22,0.48,0.12,0.00,0.06,42,0.42,2,1
37,25,79,0,840,532,46,31,11,0,15,0,11,0.749746707193516,0.497925311203319,-1.4050822122571,NaN,-1.27272727272728,0.225563909774431,0.46,0.39,0.11,0.00,0.15,0.00,0.11,10,0.10,0,0
31,25,85,0,800,531,7,33,24,25,34,1,0,0.141843971631206,0.497925311203319,-0.508221225710016,NaN,0.545454545454542,0.300751879699248,0.07,0.41,0.24,0.25,0.34,0.01,0.00,14,0.14,0,0
25,27,90,0,814,514,17,43,54,0,46,12,0,-0.466058763931105,0.912863070539419,0.239162929745889,NaN,-0.090909090909097,1.57894736842105,0.17,0.54,0.54,0.00,0.46,0.12,0.00,40,0.40,2,1
31,32,90,0,795,547,49,42,0,27,51,33,1,0.141843971631206,1.95020746887967,0.239162929745889,NaN,0.772727272727268,-0.902255639097745,0.49,0.53,0.00,0.27,0.51,0.33,0.01,21,0.21,1,0
39,23,82,0,807,539,28,29,10,2,11,0,0,0.952380952380952,0.0829875518672196,-0.956651718983558,NaN,0.227272727272722,-0.300751879699248,0.28,0.36,0.10,0.02,0.11,0.00,0.00,7,0.07,0,0
37,22,82,0,786,531,25,39,14,44,20,0,0,0.749746707193516,-0.12448132780083,-0.956651718983558,NaN,1.18181818181818,0.300751879699248,0.25,0.49,0.14,0.44,0.20,0.00,0.00,11,0.11,0,0
47,17,83,0,789,531,42,38,26,26,0,0,0,1.7629179331307,-1.16182572614108,-0.807174887892377,NaN,1.04545454545454,0.300751879699248,0.42,0.48,0.26,0.26,0.00,0.00,0.00,10,0.10,0,0
33,17,93,0,798,550,23,22,0,14,0,21,21,0.344478216818642,-1.16182572614108,0.687593423019431,NaN,0.636363636363631,-1.12781954887218,0.23,0.28,0.00,0.14,0.00,0.21,0.21,5,0.05,0,0
21,21,94,0,825,509,32,40,39,1,8,36,15,-0.871327254305978,-0.33195020746888,0.837070254110612,NaN,-0.590909090909094,1.95488721804511,0.32,0.50,0.39,0.01,0.08,0.36,0.15,28,0.28,1,0
15,17,85,0,806,535,34,25,0,12,0,0,15,-1.47922998986829,-1.16182572614108,-0.508221225710016,NaN,0.272727272727267,0,0.34,0.31,0.00,0.12,0.00,0.00,0.15,4,0.04,0,0
24,27,93,0,776,526,16,46,34,40,7,22,1,-0.567375886524823,0.912863070539419,0.687593423019431,NaN,1.63636363636363,0.676691729323307,0.16,0.58,0.34,0.40,0.07,0.22,0.01,56,0.56,3,1
22,20,82,0,803,520,16,31,21,29,0,0,0,-0.77001013171226,-0.53941908713693,-0.956651718983558,NaN,0.409090909090908,1.12781954887218,0.16,0.39,0.21,0.29,0.00,0.00,0.00,3,0.03,0,0
23,24,97,0,819,523,36,42,33,17,9,38,0,-0.668693009118541,0.290456431535269,1.28550074738415,NaN,-0.318181818181819,0.902255639097738,0.36,0.53,0.33,0.17,0.09,0.38,0.00,31,0.31,2,0
13,18,85,0,815,550,37,19,0,16,2,26,8,-1.68186423505572,-0.954356846473029,-0.508221225710016,NaN,-0.136363636363642,-1.12781954887218,0.37,0.24,0.00,0.16,0.02,0.26,0.08,9,0.09,0,0
32,25,79,0,795,531,2,32,8,33,10,0,12,0.243161094224924,0.497925311203319,-1.4050822122571,NaN,0.772727272727268,0.300751879699248,0.02,0.40,0.08,0.33,0.10,0.00,0.12,6,0.06,0,0
43,17,92,0,834,524,34,32,30,0,0,31,0,1.35764944275583,-1.16182572614108,0.53811659192825,NaN,-1,0.827067669172928,0.34,0.40,0.30,0.00,0.00,0.31,0.00,10,0.10,0,0
33,22,94,0,800,530,30,43,49,22,22,44,0,0.344478216818642,-0.12448132780083,0.837070254110612,NaN,0.545454545454542,0.375939849624059,0.30,0.54,0.49,0.22,0.22,0.44,0.00,65,0.65,3,1
13,19,92,0,840,541,28,18,1,0,9,14,2,-1.68186423505572,-0.746887966804979,0.53811659192825,NaN,-1.27272727272728,-0.451127819548876,0.28,0.23,0.01,0.00,0.09,0.14,0.02,9,0.09,0,0
29,17,82,0,839,550,8,7,0,0,0,0,19,-0.0607902735562312,-1.16182572614108,-0.956651718983558,NaN,-1.22727272727273,-1.12781954887218,0.08,0.09,0.00,0.00,0.00,0.00,0.19,5,0.05,0,0
44,19,84,0,813,520,3,30,31,13,5,0,10,1.45896656534954,-0.746887966804979,-0.657698056801197,NaN,-0.0454545454545526,1.12781954887218,0.03,0.38,0.31,0.13,0.05,0.00,0.10,2,0.02,0,0
24,26,81,0,800,531,12,35,28,19,27,0,0,-0.567375886524823,0.705394190871369,-1.10612855007474,NaN,0.545454545454542,0.300751879699248,0.12,0.44,0.28,0.19,0.27,0.00,0.00,26,0.26,1,0
27,27,85,0,785,517,10,46,53,44,47,17,0,-0.263424518743668,0.912863070539419,-0.508221225710016,NaN,1.22727272727273,1.35338345864661,0.10,0.58,0.53,0.44,0.47,0.17,0.00,55,0.55,3,1
15,25,91,0,790,531,24,39,13,34,20,5,0,-1.47922998986829,0.497925311203319,0.388639760837069,NaN,0.999999999999995,0.300751879699248,0.24,0.49,0.13,0.34,0.20,0.05,0.00,19,0.19,1,0
14,31,95,0,788,507,9,54,61,59,61,38,0,-1.58054711246201,1.74273858921162,0.986547085201793,NaN,1.09090909090909,2.10526315789473,0.09,0.68,0.61,0.59,0.61,0.38,0.00,61,0.61,3,1
34,23,91,0,788,534,24,38,13,32,2,39,0,0.445795339412361,0.0829875518672196,0.388639760837069,NaN,1.09090909090909,0.0751879699248104,0.24,0.48,0.13,0.32,0.02,0.39,0.00,15,0.15,0,0
38,25,86,0,819,531,48,39,17,16,24,11,10,0.851063829787234,0.497925311203319,-0.358744394618835,NaN,-0.318181818181819,0.300751879699248,0.48,0.49,0.17,0.16,0.24,0.11,0.10,27,0.27,1,0
32,17,87,0,787,531,10,30,18,30,0,11,0,0.243161094224924,-1.16182572614108,-0.209267563527654,NaN,1.13636363636363,0.300751879699248,0.10,0.38,0.18,0.30,0.00,0.11,0.00,4,0.04,0,0
